Pod,Setup,Rank,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments
,,,,,,,,,,,,,,,,,,,Strikes,Twists,Villains,Henchmen,Bystanders,Other,Total,1,2,1,2,,,
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,
,,,,Upper Bracket,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Nimrod's OS Needs to Defragment,1,AdamantiumGambit,18,43,61,1st,Yes (5),2nd,18 (8),1st,3 (8),2nd,3.389 (8),29,,25,0,4,4,11,6,2,0,27,Domino,Proxima Midnight,Domino,Proxima Midnight,Second attempt,5,"Super unique setup! Round 1 didn't go great, mostly all I saw was Hand Ninjas and scheme Twists, so low vpr and high escapes. Round 2 went a little smoother, think I got real lucky with the villain decks"
,,2,Sneke#1302,40,4,44,1st,Yes (5),1st,12 (9),4th,4 (6),1st,3.667 (9),29,,36,3,4,4,17,7,1,0,33,Spider-Man,Ultimate Spider-Man,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"Double Spiderman was the only way I saw out of this setup, or the fun level would be 1. Took out multiple tactics in one turn, with over 20 fight from chaining spidermen/sidekicks plus ultimate spidermans rare, but only 5 recruit was made. Luckily there was a henchmen in the city that gave me the last star for Nimrod. Escaped villians were just 3+ cost heroes I could KO in hopes for more 2 cost cards in the HQ. I fear the difference this pod will be from who drew Colossus of the future past and who drew schemes for that escape number."
,,3,Redblock,41,18,59,1st,Yes (5),3rd,19 (6),1st,3 (8),5th,3.105 (5),24,,23,1,1,3,13,6,1,0,24,Domino,Proxima Midnight,Domino,Proxima Midnight,Second attempt,5,"Oh how I was glad I saved my Domino for later, without her those master strikes would have ended me. Both attempts where very similar, just got one stroke of luck in second one, where twist on top of deck (I knew its here because Rhino likes spoilers :D) was stopped by timely intervention of Colosus from out of time, so on theme. Mad respect for great setup"
,,4,Jean-Sebastien & Genevieve,55,11,66,1st,Yes (5),6th,20 (4),1st,3 (8),4th,3.3 (6),23,,44,10,3,3,12,5,0,0,23,Spider-Man,Ultimate Spider-Man,Spider-Man,Ultimate Spider-Man,First attempt,4,"Had no idea at first how to make this works, but I figured Spider-Man would give me just enough Recruit (along with Ninjas) to hit Nimrod. One hand played Spiders and Magik's Rally New Mutants, and I was soon flooding with Sidekicks. I kicked Nimrod's butt 3 times in 1 turn! Second hand played Wolverines and tried attacking Villains, but ended up not doing much except cleaning HQ."
,,5,Jalt & KaitieAlt,20,44,64,1st,Yes (5),3rd,19 (6),5th,6 (4.5),3rd,3.368 (7),22.5,,24,0,2,1,9,4,2,0,18,Lady Thor,Thor (Avengers),Lady Thor,Thor (Avengers),Second attempt,3,Was able to win both games but the first turn was very close to a loss. Got beyond lucky in the second game with the Skrull Queen giving me core Wolverine's rare which helped me to an easy victory.
,,6,NukinFoobs & N3m3sis,15,34,49,1st,Yes (5),3rd,19 (6),9th,9 (1),7th,2.579 (3),15,,19,2,4,3,13,3,0,0,23,Lady Thor,Thor (Avengers),Lady Thor,Thor (Avengers),Second attempt,2,Man oh man this was an insanely tough setup. Ended up winning by the skin of our teeth. The wolverine hand was focusing on cleaning the city spots while the thor/lady thor deck was working on nimrod. Finally was able to get an insane turn and draw enough attack to hit nimrod twice for the last tactic and final blow. Game 1 felt like we didn't have a chance to even play but Game 2 we were able to barely pull through.
,,7,croy_boy,23,44,67,1st,Yes (5),7th,24 (2),7th,8 (2.5),6th,2.792 (4),13.5,,21,2,3,1,8,2,0,0,14,Captain Marvel,Lady Thor,Domino,Iron Fist,Second attempt,4,"I maintain that Fragmented Realities is the hardest Scheme (at least for 2 player), and the villain groups didn't make it any easier. Add in Nimrod and 3 forced heroes which have a grand total of *0* stars??? Oof. First attempt went horribly, I picked Lady Thor and Captain Marvel because they work well together and generate lots of stars, but the colors didn't gel and they were too slow, so I lost to the scheme. 2nd attempt, I went for two other of my favorite heroes, Iron Fist and Domino, because they can also generate lots of money, but the attack rewards are a lot faster (I wish I could've used Proxima Midnight, but I used her last week!). One side went double Wolverine with yellow from Domino, and the other side went Magik/Domino/Iron Fist. Went wonderfully. The last turn got 77 attack thanks to a helpful tactic which drew Living Weapon, which then caused a sidekick chain, which then bought and drew Berserker Rage and two Dimensional Portals. Challenging setup, happy to have beaten it! Still got too close to losing (9 heroes in the KO pile, and one Scheme Twist left)"
,,8,Techfiend,26,32,58,1st,Yes (5),7th,24 (2),5th,6 (4.5),8th,2.417 (1.5),13,,6,1,2,3,11,4,1,0,21,Forge,Nick Fury,Forge,Nick Fury,Second attempt,2,"My first game, I got ruined. Have you ever had 3 escapes on turn 3? 16 turns, 3 twists, and that was all she wrote. It was brutal.

Second game went much better, obviously! If I had to pick one card for MVP it was Battlefield Promotion from Fury. Got one on each side early, and helped me get to the 6 recruit needed for Nimrod without adding many actual recruit cards. Player 1 built a Wolverine draw deck with Magik's Rally the New Mutants for sidekicks, which was very effective in keeping the realities clear. Player 2 grabbed Fury and Forge cards to negate Master Strikes and build attack. By the time I got to turn 18, each side was organically generating enough recruit due to the battlefield promotions, I was able to unlock attacks on Nimrod. Funny enough, I never saw either Forge or Fury's ultimate in either game. The free defeat of the MM from either would have been nice. 

There were a couple of touch and go moments where I didn't have enough atk to clear a reality space, and had several escapes. There were 7 heroes in the KO pile at the end of the game for me, because one of the escapes was Skrull Queen Veranke. 

This was not great fun, however. The pressure of having to worry about playing multiple cards from the villain deck without being able to do anything about it is not a great feeling. I'm legitimately stunned that I was able to win this setup, especially with how the first game went. Kudos, though, to the theme and difficulty!"
,,9,Bronson & Lighthouse,26,32,58,1st,Yes (5),7th,24 (2),7th,8 (2.5),8th,2.417 (1.5),11,,6,1,2,1,9,2,1,0,15,Domino,Forge,Domino,Forge,Second attempt,1,"Our first game was such a disaster I didn't think we'd have a chance to win the scheme, let alone worry about points. This scheme is just so brutal in tournament format - every escape was scary for points and losing the scheme. 

We picked Domino and Forge for the Tech - synergy with each other for Versatile, some recruit and defense against the master strike. We did get to pull off BFG once which was satisfying. However probably we over-thought the fear for the master strike. In both games I think once of us actually had a tech card once to actually defend. 

The MVP was Wolverine X-Force's KO card which we got early the second game and helped clean my deck. Combined with Sidekicks and normal Wolverine drawing extra cards, was pulling this KO nearly every other turn. "
,,10,Adrian Miller,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lower Bracket,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Blackjack Vulture in the Dead of Night,1,HatePhD & editedmist,7,37,44,1st,Yes (5.5),2nd,10 (9),1st,0 (6),1st,4.4 (10),30.5,,30,2,4,7,13,8,1,0,33,Elsa Bloodstone (Marvel Knights),Warlock,Elsa Bloodstone (Marvel Knights),Warlock,First attempt,5,"We won the first and last twist that came out, but the two EditedMist won allowed him to get both Shuri uncommons and with a sunspot common, he was able to control the HQ.Tooms gave him one henchmen for his rage factory. Wild"
,,2,Jinjoz,14,20,34,1st,Yes (5.5),1st,8 (10),1st,0 (6),2nd,4.25 (9),30.5,,6,0,5,9,15,4,2,0,35,Wolfsbane,Warlock,Wolfsbane,Warlock,Second attempt,5,"Danger Sense 3 is very powerful. I used those to dig up 2 schemes and bury 1 master strike. I get 2 damage at least every time I used it, took out some henchmen for that extra card draw, and I own both blackjack games, gaining me 2 3 attack heroes both times. Solid game and I couldn't believe I won that fast"
,,3,Izalot,33,13,46,1st,Yes (5.5),5th,13 (6),1st,0 (6),3rd,3.538 (8),25.5,,20,0,4,8,11,7,2,0,32,Peter's Allies,"Peter Parker, Homecoming",Peter's Allies,"Peter Parker, Homecoming",Second attempt,4,"First game was a lost ( very unlucky with the scheme twists, only winning two and the next four was a lose) Also the Master Strikes compound very quickly, making it very difficult to hit Adrian Toomes. On my second attempt, I decided to knock out Adrian as quickly as possible, and sure enough I had a great combo with Liz and Michelle (Peter Allies) for the star hits on right hand; left hand I was able to get ""Avenger in training"" combo with claws and lucky danger sense draws. Combined for a very fast 13 round knock out against Toomes! My blackjack draws were also better, winning 2 hands and one lose to acquire those key combo cards."
,,4,Mwade93,23,13,36,1st,Yes (5.5),3rd,12 (7.5),1st,0 (6),6th,3 (5),24,,10,0,5,7,10,6,2,0,30,Wolfsbane,Warlock,Wolfsbane,Warlock,First attempt,3,"My ""opponent"" should go to Vegas.  Really had to push my luck to not get beat.  Destroyed me on my second game."
,,5,snash108 & SBPKECN,24,23,47,1st,Yes (5.5),6th,15 (5),1st,0 (6),5th,3.133 (6),22.5,,1,1,5,6,9,8,1,0,29,Peter's Allies,White Wolf,Peter's Allies,White Wolf,Second attempt,4,"Brought Peters Allies to hopefully build a quick recruit deck and hit the MM with Michelle, which worked rather well. White Wolf was the back up plan to wound everything!!"
,,6,Silverfox & BLUsHINgETHeR,15,51,66,1st,Yes (5.5),7th,19 (3.5),1st,0 (6),4th,3.474 (7),22,,36,3,3,7,7,3,0,0,20,Peter's Allies,Warlock,Peter's Allies,Warlock,First attempt,4,Playing Blackjack with the mastermind was pretty fun! MVP for this game is Michelle! Being able to hit the Mastermind with recruit was *chefs kiss*
,,7,CaptainMetroidica,35,19,54,1st,Yes (5.5),7th,19 (3.5),1st,0 (6),8th,2.842 (3),18,,16,1,5,5,9,5,0,0,24,Sunspot,Wolfsbane,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,"I lost the first three scheme twists playing blackjack (21-20, 18-18, bust) so I was on high stress from there on out. Made extensive use of danger sense from high tech spider-man to manage future scheme twists because of how scary they were. Won the next three twists, but had to make some risky ""hits"". I didn't get a single master strike, so Adrian Toomes stayed at 5 attack the whole game. Could have won faster, but I would have had escapes, so I balanced those together and hope I made the correct call. Managed to keep moonlight most of the time which helped Werewolf by Night and Wolfsbane to work well. Those two are really a fantastic combo I recommend that everyone try out. Overall, things went about as smoothly as they could other than those first 3 twists putting me at death's door. Heroes synergized well and the scheme was very fun."
