Pod,Setup,Rank,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments
,,,,,,,,,,,,,,,,,,,Strikes,Twists,Villains,Henchmen,Bystanders,Other,Total,1,2,1,2,,,
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,
,,,,Upper Bracket,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"The Elite Four",1,Jean-Sebastien & Genevieve,92,14,106,1st,Yes (1.5),1st,24 (1.5),1st,0 (1.5),1st,4.417 (2),6.5,,78,3,4,4,9,1,2,0,20,Red Guardian,Jessica Jones,Red Guardian,Wasp,Second attempt,4,"Hand 1 was Wasp, Red Guardian and other red cards, and did all the work. Hand 2 cleaned up HQ as much as possible. Scheme Twists really help managing Escapes (mostly it's a free turn)."
,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,Redblock,69,26,95,1st,Yes (1.5),1st,24 (1.5),1st,0 (1.5),2nd,3.958 (1),5.5,,43,9,2,4,8,5,1,0,20,Howard the Duck,Red Guardian,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,"Wanted to end tournament with a bang, so sent Howard.On serious note squirel girl + Red guardian is nice combo, and Howard works as finisher"
,,,,Eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E20,"Duck, Duck, Goon",1,Pervavita & Catswifti,36,49,85,1st,Yes (4),1st,20 (5.5),1st,0 (6),1st,4.25 (6),21.5,,13,26,1,2,4,10,0,0,17,Iceman,Angel,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,"Fun setup, on the easier side but we both were able to get our decks running.
we ran one deck as Angle with the other being Iceman with Emma and Jean being shared to get things working. Spiderman was just there to be KO fodder if we needed it but the game ended before that was really needed. "
,,2,MicroDisney0505,14,61,75,1st,Yes (4),1st,20 (5.5),2nd,1 (5),2nd,3.75 (5),19.5,,47,12,2,1,4,7,1,0,15,Elektra,Ghost Rider,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,I chose ghost rider to ko henchmen and Elektra to work with Spiderman.  My plan did not work how I thought. Very few henchmen showed up. Thanks to Dr octopus I got Emma frosts rare on turn 3.
,,3,Mangostrike,22,65,87,1st,Yes (4),3rd,26 (3.5),3rd,4 (3.5),3rd,3.346 (4),15,,43,22,0,0,3,6,0,0,9,Angel,Black Widow,Bishop,Iceman,Second attempt,4,"I managed to get Jean’s and Bishop’s rates in the right hand and drew every card two turns in a row. The final turn I made 54 attack and cleared the city, then hit kingpin 3 times. The tactic could have caused a flood of Maggie goons to overrun the city for a loss, but it turned out i had other villains in the VD every other spot to avoid that flood of ambush as long as possible. A nice end to the tournament getting a classic combo to land."
,,4,GZUZROCKS & DaBomb,32,33,65,1st,Yes (4),3rd,26 (3.5),3rd,4 (3.5),5th,2.5 (2),13,,1,12,0,4,3,6,1,0,14,Daredevil (Marvel Knights),Elektra,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,Great set up! And thanks for the promo!
,,5,Sandals,27,47,74,1st,Yes (4),5th,28 (2),5th,6 (2),4th,2.643 (3),11,,20,6,1,1,1,3,0,0,6,Angel,Black Widow,Iceman,Ghost Rider,Second attempt,2,"OCW with Kingpin is never ""fun"" but I appreciate the challenge! 
My wife didn't fancy this one, so I solo'd it. The first attempt I went for Bystander shenanigans but it was too slow and I was Goon'd out early. The second I went draw crazy - one side going full Iceman, the other going a bit of everything to beat and KO Goons with Ghost Rider. 
The second go worked, but not without 4 Goons escaping on Twists. If I'd not had 3 twists before the first Goon, I suspect I'd have lost.
Thanks for the second chance!"
,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,WingedCrusader,12,16,28,6th,No (1),6th,16 (1),6th,10 (1),6th,1.75 (1),4,,4,4,4,4,4,5,1,0,18,Black Widow,Iron Man,Black Widow,Iceman,Second attempt,3,guh
E21,Goblin Breeches his Contract,1,Gideon Wyatt & Wife,26,37,63,1st,No (2),2nd,35 (2),1st,0 (3),2nd,1.8 (2),9,,11,15,3,3,0,0,0,0,6,Phyla-Vell,Angel Noir,I did not play a second attempt.,I did not play a second attempt.,First attempt,2,"It was either playing too late at night, it being my first game as 2-handed solo, or my HQ got full of attack cards and I had basically no recruit the whole game. I should have cut my losses and gotten an officer. 2 rares clogged the HQ and never left."
,,2,Montax30,29,22,51,1st,No (2),3rd,24 (1),2nd,3 (2),1st,2.125 (3),8,,7,15,1,0,3,0,0,0,4,Fantastic Four United,Heralds of Galactus,I did not play a second attempt.,I did not play a second attempt.,First attempt,1,Nope
,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,jgoodnough,18,13,31,1st,No (2),1st,39 (3),3rd,5 (1),3rd,0.795 (1),7,,5,4,0,0,3,1,0,0,4,Phyla-Vell,Adam Warlock,I did not play a second attempt.,I did not play a second attempt.,First attempt,1,Not my favorite scheme.  Lost control of hidden witnesses on Goblin too
E22,M.O.D.O.K.: Batteries Not Included,1,dontfeedthegreen,49,25,74,1st,Yes (3.5),1st,24 (5),1st,0 (3.5),1st,3.083 (5),17,,24,0,3,5,6,5,2,0,21,Domino,"Joe Fixit, Grey Hulk",Domino,Wolverine (X-Force),Second attempt,4,"First attempt I got stuck with two nasty locations right out of the gate. Really slowed me down, especially once the Wounds started rolling in. Second attempt I swapped Joe Fixit for X-Force Wolverine. Player 1 got Reckless Abandon, Warflight and a bunch of cheap draw cards with dual icons and they ran away with it. P2 got Caiera’s rare but kept discarding it with Hawk Dive, and only got to use it for the final blow."
,,2,WingedCrusader,48,29,77,1st,Yes (3.5),2nd,26 (4),1st,0 (3.5),2nd,2.962 (4),15,,19,2,2,6,7,3,1,0,19,Domino,Nightcrawler,Domino,Iceman,Second attempt,4,"M.O.D.O.K was tough but I realized I had iceman left! Darkhawk and Domino work so well together its fantastic, managed to get the rare darkhawk with all of the recruit i was getting from the flexibility.  Great heroes!"
,,3,Mangostrike,72,34,106,1st,Yes (3.5),4th,37 (2),1st,0 (3.5),3rd,2.865 (3),12,,38,3,0,4,1,1,0,0,6,"Joe Fixit, Grey Hulk",She-Hulk,"Joe Fixit, Grey Hulk",She-Hulk,Second attempt,1,I don’t like modok at all.
,,4,GZUZROCKS & DaBomb,42,34,76,1st,Yes (3.5),3rd,28 (3),1st,0 (3.5),4th,2.714 (2),12,,8,3,1,5,10,6,1,0,23,Iceman,Nightcrawler,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,Fun game. Glad we got modok quick as I think the plutonium could get out of hand as the villain deck runs out.
,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,Izalot,28,18,46,5th,No (1),5th,30 (1),5th,5 (1),5th,1.533 (1),4,,10,9,1,1,3,0,1,0,6,Phyla-Vell,Nebula,Phyla-Vell,Nebula,Second attempt,2,"Maybe a 2.5 setup. Not a big fan of the scheme it was just hard to keep track of how many cards were each pile. Goblin underworld a lot tougher than I remember and the added annihilation wave and henchmen was brutal with advancing the villains plus stacking up the meat shields. I tried it twice to see if I had a bad card draw, but it was a goose egg on both trys."
,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
