Pod,Setup,Rank,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments
,,,,,,,,,,,,,,,,,,,Strikes,Twists,Villains,Henchmen,Bystanders,Other,Total,1,2,1,2,,,
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,
,,,,Upper Bracket,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,King of the Hill,1,Jean-Sebastien & Genevieve,67,20,87,1st,Yes (1.5),1st,25 (2),1st,2 (2),2nd,3.48 (1),6.5,,47,11,3,9,12,1,0,0,25,Drax (MCU),Karnak,Drax (MCU),Karnak,Second attempt,2,"Green and Yellow cards for Hand 1, Hand 2 mostly HQ cleanup and some kill as well. Not a very fun setup, very luck dependent. I only drew 2 Master Strikes, my results would have been much worse if 1 or 2 other Strikes would have shown. Best things happening was rescuing Detective Wolverine and preventing some escape! Side note: Karnak is so good with Drax, will have to try this again with another setup."
,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,Sneke#1302,61,52,113,1st,Yes (1.5),2nd,26 (1),2nd,4 (1),1st,4.346 (2),5.5,,9,26,1,10,11,2,0,0,24,Black Swan,Captain Britain,Black Swan,Captain Britain,Second attempt,3,"Stressful, but managable with Black Swan. Star Lord was honestly just there to be escape fodder or to sit in HQ under sewers to protect me from abomination enemies. After choosing Swan, I saw all 4 heros so far were on different teams. So I invited Captain Britain :). After deducting that the last tactic was rescue 6 bystanders if fought in the city that the VP farming was worth it. Felt comfortable doing so when I could rearrange the top 3 villain cards most turns. Not 5, never found black swans rare :("
,,,,Lower Bracket,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Save Humanity from Stupidity,1,TheMelkMan & Snapcity57,21,37,58,1st,Yes (3.5),1st,18 (6),1st,0 (3.5),2nd,3.222 (5),18,,16,4,3,4,8,3,1,0,19,Superior Iron Man,Forge,Superior Iron Man,Forge,Second attempt,2,Too many bystanders inhibited the melking
,,2,ChuckBauer,59,22,81,1st,Yes (3.5),2nd,25 (4),1st,0 (3.5),1st,3.24 (6),17,,37,3,3,4,5,3,1,0,16,Colossus,Rocket Raccoon,Colossus,Rocket Raccoon,First attempt,4,"Rocket Raccoon saved the day! Each side picked up 1 of his instinct artifacts very early, and from then on, they just accrued shards and prevented the twists from taking rescued bystanders away!!"
,,3,HatePhD & editedmist,20,55,75,1st,Yes (3.5),2nd,25 (4),1st,0 (3.5),3rd,3 (4),15,,35,15,2,2,7,3,1,0,15,Jean Grey,Professor X,Jean Grey,Professor X,Second attempt,5,First game did not go as planned. Still won but 3 thicc Marauders ran through the city before we could stop them. Second game popped off as I had hoped the first game would have by me getting Jeans cards early and then her rare! Made pretty short work of the Kree Management after that. Mist also recruited X's Rare and used it on a henchmen. That was fun too.
,,4,Jalt & KaitieAlt,38,35,73,1st,Yes (3.5),2nd,25 (4),1st,0 (3.5),5th,2.92 (2),13,,3,8,1,3,6,4,2,0,16,Domino,Proxima Midnight,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,Was able to get instinct in both hands so the scheme was never a problem. I got some KO power but not as much as I would've loved to have so it took a few extra turns to get this finished.
,,5,R3DJ0N,28,51,79,1st,Yes (3.5),6th,27 (1),1st,0 (3.5),4th,2.926 (3),11,,23,11,3,2,4,4,1,0,14,Black Panther,Nightcrawler,Black Panther,Nightcrawler,First attempt,4,"So a bad villain deck shuffle is a bagelshuffle, what's a bad hero deck shuffle called? Both games I barely saw any of the numerous KO cards. Literally 1 copy of Boom Goes the Dynamite came up, and not until the second to last turn of game 1."
,,6,MicroDisney0505,43,31,74,1st,Yes (3.5),5th,26 (2),1st,0 (3.5),6th,2.846 (1),10,,12,6,3,5,4,1,1,0,14,Gamora,Nightcrawler,Nightcrawler,Gamora,First attempt,3,"Thanks to all that have participated in this tournament and those putting it on.
I feel my turn count was too high to move on.
Nightcrawler was great at teleporting until needed and Gamora with Groot held on to shards until needed. Old man Logan and Punisher helped ko a ton."
,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,BradyVBBB#6846,42,49,91,1st,Yes (4),7th,32 (1),1st,0 (4),7th,2.844 (1),10,,7,9,1,2,1,0,1,0,5,Star-Lord,Drax the Destroyer,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,Guardians are always good together.
32,Punctual Hitmen,1,Redblock,53,16,69,1st,Yes (3.5),2nd,17 (5),1st,0 (3.5),1st,4.059 (6),18,,37,8,3,6,8,5,2,0,24,Iceman,Jean Grey,Iceman,Jean Grey,Second attempt,4,"Had good synergy going, with Iceman stuff in one side, and Jean Grey doing bystander synergy with F4 and White Tiger in other. Iceman gave epic last turn of 18 cards and 50+ attack, but Iceman gonna ice"
,,2,Avataristche,29,7,36,1st,Yes (3.5),1st,12 (6),1st,0 (3.5),3rd,3 (4),17,,22,2,5,7,12,6,1,0,31,Iceman,Heralds of Galactus,Iceman,Heralds of Galactus,Second attempt,5,"First game i conceded, there was 0 Iceman and 1 Bishop in the first 10ish cards, and already got 2 incursions (and the 3rd one was coming soon, i peaked after conceding). The second game, well, i got to ko almost all greys with bishop and henchmen while recruiting iceman ramps. I got the tactics with extra turn, and then the next turn got just enough attack to hit him 3 times. The other side used Prodigy to copy some recruit and get Fantastic rare, so they focused Kang once too."
,,3,Adrian Miller,28,34,62,1st,Yes (3.5),3rd,20 (4),1st,0 (3.5),2nd,3.1 (5),16,,6,5,3,6,8,4,1,0,22,Iron Fist,Psi-Lord,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,Big happy family...
,,4,AdamantiumGambit,29,37,66,1st,Yes (3.5),6th,25 (1),1st,0 (3.5),4th,2.64 (3),11,,8,8,1,4,8,5,0,0,18,Iceman,Heralds of Galactus,Iceman,Heralds of Galactus,First attempt,4,"First time playing with Annhilation and Black Widow, I'm glad these expansions are in my collection now!"
,,5,AntDude,13,46,59,1st,Yes (3.5),5th,23 (2),1st,0 (3.5),5th,2.565 (2),11,,33,0,2,4,7,4,2,0,19,Heralds of Galactus,Wasp,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"Lots of fun here, as Galactus nibbling at the city always is. Was building one deck to be Bishop and Wasp, but four KOs in a turn powered up Bishop’s covert common enough to get Galactus Hungers. Five turns later, Kang didn’t stand a chance."
,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,snash108 & SBPKECN,33,22,55,1st,Yes (3.5),4th,22 (3),1st,0 (3.5),6th,2.5 (1),11,,11,2,3,2,9,5,0,0,19,Iceman,Professor X,Iceman,Professor X,Second attempt,4,"Couldn't resist Bring Iceman to the party! SBPKECN built a reasonable Ranged deck, while the snashtried for a Dark Memories deck, but stumbled into Bishop's Rare, which then(through KO power), also got him Iceman's rare as well!!  Game was over shortly after that!!"
,,,,Eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E9,Dead and Deader,1,Astigmatic_Oracle,53,95,148,1st,Yes (4),1st,38 (6),1st,0 (3.5),1st,3.895 (6),19.5,,42,4,0,2,1,0,0,0,3,Deathlok,"Miek, the Unhived",I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"Was my game slow? Absolutely. But I also had probably my biggest victory pile so far, sorry worth it. Left hand got a bit bogged by wounds but shield level with hydra villains is always a big success."
,,2,zorotok,93,51,144,1st,Yes (4),2nd,40 (4.5),1st,0 (3.5),2nd,3.6 (5),17,,42,7,0,0,1,0,0,0,1,Agent Phil Coulson,Deathlok,I did not play a second attempt.,I did not play a second attempt.,First attempt,1,I do not enjoy the location concept
,,3,WingedCrusader,40,84,124,1st,Yes (4),2nd,40 (4.5),1st,0 (3.5),4th,3.1 (3),15,,44,6,0,0,0,1,0,0,1,Quake,Amadeus Cho,Quake,Amadeus Cho,Second attempt,4,Holy that was hard Grim reaper is so darn big the locations just kept coming goodness. Every time graviton came out it was also horrible.  Early graviton can be back breaking.
,,4,GZUZROCKS & DaBomb,78,50,128,1st,Yes (4),4th,41 (2.5),1st,0 (3.5),3rd,3.122 (4),14,,28,18,0,0,0,0,0,0,0,Hellcat,Scarlet Spider,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,This was HARD! I guess that's why it was EPIC grim reaper! We managed to pull out a win on the last turn which was pretty epic in itself! Boss was just pretty fat out buffed up with all those locations. Fun but difficult!
,,5,Montax30,79,42,121,1st,Yes (4),4th,41 (2.5),1st,0 (3.5),5th,2.951 (2),12,,37,4,0,0,0,0,0,0,0,Amadeus Cho,She-Hulk,Amadeus Cho,She-Hulk,Second attempt,2,She Hulk is underrated
