Pod,Setup,Rank,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Diff.,"By-
standers
rescued","Hero Choice 1
(Attempt 1)","Hero Choice 2
(Attempt 1)","Hero Choice 1
(Attempt 2)","Hero Choice 2
(Attempt 2)","Attempt
Used",Fun Level (no slash),Fun Level,Comments
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,
,,,,                                                            Upper Bracket,,,,,,,,,,,,,,,,,,,,,,
23,Adrian Toomes Unites the Shards,1,MicroDisney0505,38,8,46,1st,Yes (5.5),1st,9 (10),1st,0 (5.5),1st,5.111 (10),31,,30,0,Peter's Allies,She-Hulk,Peter's Allies,She-Hulk,First attempt,5,5/5,Game 1 was not very fun. It was so lopsided. On turn 5 I hit Tomes 4 times (see discord for how). Second game was much more fun. Dr. Voodoo is great. I chose she hulk and Peter's Allies to help with the astral plane. In my winning game did so with just 4 cards and a very lucky villain deck. Only saw one scheme twist and no masterstrikes.
,,2,BleshInTheFlesh,19,23,42,1st,Yes (5.5),2nd,10 (9),1st,0 (5.5),2nd,4.2 (9),29,,4,0,Groot,Peter's Allies,Groot,Peter's Allies,Second attempt,4,4/5,"This round was very much about the luck of the draw from the villain's deck. First round hit a few Master Strike & Scheme Twists early, took a long time to finally win. Second round only hit 3 Scheme Twists."
,,3,OllieKitKat & Kylah15,28,43,71,1st,Yes (5.5),5th,17 (5.5),1st,0 (5.5),3rd,4.176 (8),24.5,,15,2,High Tech Spider-Man,Peter's Allies,High Tech Spider-Man,Peter's Allies,Second attempt,4,4/5,"Kylah built a Spider-Friends deck using Allies & High Tech. Ollie played around with Rick Jones & Happy. Hero choices were difficult this week - we tossed around the idea a bit trying to decide if we wanted to switch it up after our first game.  First game was decent, but felt it still had potential. Danger sense definitely was the MVP allowing us to bring out the villains we wanted and avoided twists and strikes."
,,4,Jalt,46,16,62,1st,Yes (5.5),5th,17 (5.5),1st,0 (5.5),4th,3.647 (7),23.5,,30,3,The Ancient One,Peter's Allies,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,4/5,"I knew going into the setup I was going to have to be quick and lucky, but after seeing other people’s comments I knew I had my work cut out for me.

It was super easy to get recruit to focus towards the MM and the city to keep it clear. I know my turns could’ve been lower, but I felt good about this play through. Overall fun, but too easy to be a 5/5."
,,5,R3DJ0N,19,34,53,1st,Yes (5.5),4th,16 (7),1st,0 (5.5),6th,3.313 (5),23,,15,3,"Joe Fixit, Grey Hulk",She-Hulk,"Joe Fixit, Grey Hulk",She-Hulk,Second attempt,3,3/5,2nd attempt was a lot easier because I didn't draw scheme twists and masters strikes on the first six turns. Also the HQ wasn't completely clogged with Heads of Security like the 1st attempt.
,,6,JustHarold,15,26,41,1st,Yes (5.5),3rd,13 (8),1st,0 (5.5),8th,3.154 (3),22,,11,3,Peter's Allies,She-Hulk,Peter's Allies,Groot,Second attempt,4,4/5,Groot+Peter's allies worked great together. Groots rare letting you use shards as stars instead and michelle letting you fight with stars was a great combo. I would have won quicker but I hit 2 master strikes extremely early
,,7,Sparky001,37,43,80,1st,Yes (5.5),7th,22 (4),1st,0 (5.5),5th,3.636 (6),21,,6,8,Drax the Destroyer,Hiroim,Drax the Destroyer,Hiroim,Second attempt,3,3/5,"Felt that this was a slow win for a low stat mastermind, got bogged down early in both games with high cost cards in the HQ used drax, hogan and Hirom to power through the attack side of things while going all out for stars on the other to lower the masterminds shard count and astral plains villains.
 Don’t think this result will do well but hopefully carry some weight."
,,8,JesterJeeto,40,36,76,1st,Yes (5.5),8th,24 (3),1st,0 (5.5),7th,3.167 (4),18,,4,2,Rocket Raccoon,Star-Lord,Rocket Raccoon,Star-Lord,Second attempt,3,3/5,"I feel like this took me too many turns to defeat.  My first game was about 8 turns faster but had too many escape right away.  Second attempt, had too many early master strikes and it slowed the game down considerably."
