Pod,Setup,Rank,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Diff.,"By-
standers
rescued","Hero Choice 1
(Attempt 1)","Hero Choice 2
(Attempt 1)","Hero Choice 1
(Attempt 2)","Hero Choice 2
(Attempt 2)","Attempt
Used",Fun Level (no slash),Fun Level,Comments
,,9,RemingtonChase,25,52,77,1st,Yes (5.5),9th,25 (2),1st,0 (5.5),9th,3.08 (2),15,,27,3,The Ancient One,Peter's Allies,The Ancient One,Peter's Allies,First attempt,5,5/5,"Ancient One and Peter's Allies significantly helped with buying shards from Toomes and handling the Fear Lords, as well as enhancing Coordinate synergy with Happy Hogan. First game went extremely well, thought I might be able to top it in the second but it ended up being a trainwreck. But the first game went as good as I could've hoped considering the shuffle, very strong pair."
,,10,NukinFoobs & N3m3sis,47,38,85,1st,Yes (5.5),10th,31 (1),1st,0 (5.5),10th,2.742 (1),13,,9,5,High Tech Spider-Man,"Peter Parker, Homecoming",Drax the Destroyer,Korg,Second attempt,4,4/5,Our first game didn't go well with the spider men. Toomes ended up getting very early strikes which made him unhittable for most of the game until the villain deck ran out. Our 2nd game went much better. We were able to get all possible VP up to when we finally won the game. Hoping it's fast enough. Overall pretty fun setup.
,,,,                                                            Lower Bracket,,,,,,,,,,,,,,,,,,,,,,
24,Baron Helmut Zemo's Demon Bear Saga,1,SilverFirePrime,46,25,71,1st,Yes (6),2nd,26 (9),1st,0 (9),5th,2.731 (6),30,,21,6,Wiccan,Karma,Fantastic Four United,Psi-Lord,Second attempt,3,3/5,Really hard to find a good combo of heroes given the starting trio.
,,2,Frank7666,67,32,99,1st,Yes (6),1st,25 (10),7th,2 (3.5),1st,3.96 (10),29.5,,35,3,Ms. Marvel,Quicksilver,Ms. Marvel,Quicksilver,First attempt,5,5/5,I love Scarlett witch so glad I got to play with her.
,,3,snash108 & SBPKECN,48,47,95,1st,Yes (6),3rd,30 (8),4th,1 (6),2nd,3.167 (9),29,,1,18,Cloak & Dagger,Karma,Cloak & Dagger,Karma,First attempt,4,4/5,"Brought Karma and Cloak & Dagger to keep the hero deck entirely covert and ranged. This made all superpowers super easy to trigger. I(snash108) was primarily ranged, while my wife focused on covert. 

Probably would have gone 4-5 turns shorter if Silver Surfer hadn't decided to go on vacation..."
,,4,Drewfusmcge,41,71,112,1st,Yes (6),7th,36 (3.5),1st,0 (9),3rd,3.111 (8),26.5,,30,28,Cloak & Dagger,Wiccan,Cloak & Dagger,Wiccan,First attempt,5,5/5,"Not sure if this is good enough to move on, but man was it fun. An all blue and red hero deck is definitely a good time. Got to cancel two master strikes with Speedball's rare and also got to destroy two city spaces with Galactus. Never had the demon bear escape, which gave me tons of extra bystanders. Probably too many turns to move on but my PPT were excellent so I hope that was enough. GG to you all!"
,,5,AntDude,27,52,79,1st,Yes (6),5th,34 (6),1st,0 (9),6th,2.324 (5),26,,25,16,Cloak & Dagger,Wiccan,Cloak & Dagger,Wiccan,First attempt,4,4/5,"Maybe I took the bait here and selected blue and red hero sets, not sure if it was the best plan. Attempt 2 was going so well when I picked up Penumbra on turn 8, but then Galactus Hungers got Chaos Magic'd to the bottom of the deck when I could have easily recruited it. Took me until turn 40 to win on that one.  Attempt 1 became the selection after that. Speedball and Scarlet Witch just don’t work well in my hands."
,,6,Lamertien,53,41,94,1st,Yes (6),4th,32 (7),7th,2 (3.5),4th,2.938 (7),23.5,,12,25,Storm & Black Panther,Peter Parker/Aunt May,Storm & Black Panther,Cloak & Dagger,First attempt,4,4/5,"I submitted my first attempt for it was much faster and I had more VP/Turn. But those two escapes could be my end here. My start was pretty bad with two early escapes but I hit the Demon Bear many times in the city. So I grabbed many Bystanders :) One hand focused on 2-cost-cards with Peter Parker, the 2-cost Storm&Black Panther and Scarlet Witch while the other hand did an excellent job with the Heralds & Speedball. In my second match I replaced Peter Parker with Cloak & Dagger. But the match took too long. 37 turns but 0 Escapes here."
,,7,Dre 2 point 0,49,30,79,1st,Yes (6),6th,35 (5),4th,1 (6),7th,2.257 (4),21,,19,18,Brainstorm,Vision,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,3/5,"Zemo came out swinging and delivered several wounds to each hand in the first few turns. This really slowed the game down, and then Galactus Hungers and a bunch of 6-cost heroes were just hanging out in the HQ! Eventually right hand had a good dark memories deck and right hand had Galactus and things got going, but boy that was a slog!"
,,8,Captain Cardone & Paisley5002,44,20,64,1st,Yes (6),9th,37 (2),4th,1 (6),10th,1.73 (1),15,,24,7,Wiccan,Cloak & Dagger,Wiccan,Cloak & Dagger,First attempt,5,5/5,"We went all in with blue/red, and had a blast. We ate so many wounds though. Luckily we killed both radioactive men in the first 6 turns or so."
,,9,AdvSwaY,36,27,63,1st,Yes (6),7th,36 (3.5),9th,4 (2),8th,1.75 (2.5),14,,9,4,Brainstorm,Wiccan,Brainstorm,Wiccan,Second attempt,2,2/5,Could not get anything going. Felt like I had 100 shield agents in both decks. Heros were clunky and hard to work. Didn't have very good options for K.O power so wounds were a problem. Not being familiar with any of the heroes didn't help either. Overall not a very fun pod even though I did win the second game it still felt like a loss.
,,10,freeclint & gnomemaster,30,40,70,10th,No (1),10th,40 (1),10th,5 (1),8th,1.75 (2.5),5.5,,10,19,Photon,Cloak & Dagger,Photon,Cloak & Dagger,Second attempt,5,5/5,Great setup.  First game 6 scheme twists in 10 turns and it was over.  Second game ran out the villain deck.  We handled the bear just fine but zemo was just a bit too tough for our decks.
25,Taskmaster Hypnotizes Every Human,1,Avataristche,73,36,109,1st,Yes (5),6th,27 (3.5),1st,0 (8.5),1st,4.037 (9),26,,37,43,Ms. Marvel,Totally Awesome Hulk,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,5/5,"It felt kinda slow, but i was (barely) able to avoid escapes. And then Guardian's rare went nutso and finished it."
,,2,Jinjoz,30,38,68,1st,Yes (5),1st,21 (9),4th,2 (5.5),4th,3.238 (6),25.5,,8,18,Stepford Cuckoos,Yelena Belova,Stepford Cuckoos,Yelena Belova,Second attempt,5,5/5,"Easily the most fun setup of the tournament so far, and probably in my top 5 setups of all time. Yelena overperformed in combination with Red Guardian. Stepford Cuckoos and Warpath put in work. The thing I loved about this set up is every turn I was either drawing cards, investigating, unleashing, making tough decisions. Having to play my cards in a specific order so I could hit taskmaster, or pull off a clone trigger correctly. Incredibly fun, I'll be stashing this one and playing it again for sure"
,,3,Snatchcat,39,46,85,1st,Yes (5),2nd,24 (8),6th,3 (3.5),2nd,3.542 (8),24.5,,7,26,Adam Warlock,Captain Mar-Vell,Ms. Marvel,Siryn,Second attempt,4,4/5,"On my first game I saw how strong covert would be with Red Guardian in the mix, so on the second attempt I used two covert-centric heroes with Ms. Marvel and Siryn. It was a great choice, as both sides just focused on making covert decks. Both sides got to be pretty strong at the end, and thinned down due to the bridge builders and bringing them back when I could to get even more KO. Luckily, the Henchman were only 3 attack for most of the game, and I only ended up drawing 2 Master Strikes in total. No super crazy turns, just very consistent on both sides to keep the Henchmen in check until I could focus on Taskmaster."
,,4,Redblock,44,39,83,1st,Yes (5),4th,26 (5.5),1st,0 (8.5),5th,3.192 (5),24,,5,19,Ms. Marvel,Quasar,Ms. Marvel,Quasar,First attempt,5,5/5,"This setup is masterpiece. Had to go full ""Red deck wins"" and cheer whole lot of fans to the bottom of stack. Also Epic Sidera Maris with 13 shards"
,,5,FlipFlopManiac,61,25,86,1st,Yes (5),4th,26 (5.5),4th,2 (5.5),3rd,3.308 (7),23,,36,26,Stepford Cuckoos,Yelena Belova,Stepford Cuckoos,Yelena Belova,First attempt,5,5/5,"Excellent setup, I'll be keeping it in mind for future plays.  Also first time playing Red Guardian and Yelena together and they are perfect together.  The other deck stacked Cuckoos and took care of Taskmaster with only +2's and 3's."
,,6,Mr. Omnishambles,58,36,94,1st,Yes (5),8th,30 (2),3rd,1 (7),7th,3.133 (3),17,,22,33,Phyla-Vell,Ronan the Accuser,Phyla-Vell,Ronan the Accuser,Second attempt,4,4/5,"Stupid Clones gave me one Escape. Otherwise a good 2nd match. Shards are a nice thing to get rid of the Taskmaster, so I chose Phyla-Vell & Ronan. Too bad I didn't get multiple copies of Rally Kree Warriors in my both attempts. I also used Cheering Crowds quite often so that made me lose some important VP."
,,7,JParnell,33,44,77,1st,Yes (5),3rd,25 (7),8th,4 (1.5),8th,3.08 (2),15.5,,11,25,Yelena Belova,Ms. Marvel,Phyla-Vell,Ms. Marvel,Second attempt,5,5/5,"Very challenging but rewarding setup. First time all tournament I changed a Hero from play 1 to 2, and ultimately the switch to Phylla allowed everything to run smoother, including hilariously delivering the Final Blow without playing any cards- just 5 Shards."
,,8,Off the Cuff,58,53,111,1st,Yes (5),9th,35 (1),6th,3 (3.5),6th,3.171 (4),13.5,,5,40,Siryn,White Tiger,Siryn,White Tiger,First attempt,4,4/5,Everybody watch Taskmaster (UK). That's all I have to say
,,9,kata124,55,13,68,1st,Yes (5),6th,27 (3.5),8th,4 (1.5),9th,2.519 (1),11,,42,14,Moondragon,Yondu,Ms. Marvel,Yelena Belova,First attempt,2,2/5,"Whew, tough one. The villain synergy almost guaranteed escapes. Danger sense was ok but it didn't mitigate early strikes so henchmen were a pain. I though that leaning in on Champions would help in round 2 but it ended up being worst and a jester absolutely wrecked my game 2."
26,Maximus' Symbiotic Absorption of The Goblin,1,Jean-Sebastien & Genevieve,51,64,115,1st,Yes (5),2nd,30 (7),1st,0 (5.5),1st,3.833 (8),25.5,,13,8,Angel Noir,Luke Cage Noir,Angel Noir,Luke Cage Noir,Second attempt,3,3/5,"Very long turns, and longer games than usual. Investigate was key to our wins, very nice keyword."
,,2,ChuckBau3r,56,51,107,1st,Yes (5),3rd,31 (6),1st,0 (5.5),3rd,3.452 (6),22.5,,5,16,Agent Venom,Captain Britain,Agent Venom,Captain Britain,Second attempt,5,5/5,"Brought Captain Britain, to minimize printed attack available for Abomination. Chose Agent Venom for similar reasons. Also helped bring another hero group to power up Captain Britain even quicker.

Went pretty well. First game dragged a bit too long for my liking, but in the 2nd game was able to score 3 rares(Carnage's, Daredevil Noir's and Medusa's). Got my decks super thin, and hit Maximus multiple times in the last few turns, which is when I know I've got a solid deck built!!"
,,3,Hatephd & EditedMist99,46,38,84,1st,Yes (5),1st,26 (8),1st,0 (5.5),5th,3.231 (4),22.5,,8,7,Angel Noir,Venom (Venomverse),Agent Venom,Venom (Venomverse),Second attempt,5,5/5,"I almost put some respect on Angel Noir's name, but then we played the second game with Agent Venom. Edited was able to recruit Carnage's rare and used it to KO 8 0 cost cards in one turn. We then proceeded to hit the MM all 9 times before the poison armor card came out."
,,4,Silverfox & Blushingether,40,80,120,1st,Yes (5),5th,36 (4),1st,0 (5.5),4th,3.333 (5),19.5,,40,7,Venom (Venomverse),Luke Cage Noir,Venom (Venomverse),Karnak,Second attempt,3,3/5,Venom and Carnage for the win.
,,5,dontfeedthegreen,44,63,107,1st,Yes (5),4th,35 (5),1st,0 (5.5),6th,3.057 (3),18.5,,19,14,Captain Britain,Soulsword Colossus,Elsa Bloodstone,Arkon the Magnificent,Second attempt,3,3/5,"Attempt 1 Captain Britain helped get Colossus’ rare on turn 3, and had a decent but kind of slightly slow win. I had high hopes for attempt 2 with Elsa and Arkon when I saw Carnage’s rare in the starting HQ, but despite my best efforts to buy Officers to ensure I got it early it kept eluding me and then when I did get it it kept hitting non-zero cards and only once I think did it KO more than one card, so this attempt finished up only marginally quicker than the first. Submitted attempt 2 because I thought an extra turn might be worth more than ~0.1 difference in PPT."
,,6,Grey Warden & Blue Queen,95,46,141,1st,Yes (5),6th,40 (3),7th,1 (1.5),2nd,3.525 (7),16.5,,49,38,Karnak,Venompool,Karnak,Venompool,Second attempt,4,4/5,"Our first game went really well with Venompool's commons and Karnak's Uncommons pulling most of the weight in Grey's deck while Blue ran with Medusa and Carnage mostly. While there were no escapes in the first game, the second game was a couple turns shorter and had more points, so we went with that score instead. The second game Grey murdered the board by landing all 3 of Venompool's Uncommons and the Rare. Was rescuing so many bystanders, boosting attack, and quadrupling effects. (Luckily Amy can't be duplicated....) Super fun game having Maximus use someone else's tactics."
,,7,Ceej,87,48,135,1st,Yes (5),7th,45 (2),1st,0 (5.5),7th,3 (2),14.5,,39,18,Gorgon,Karnak,Gorgon,Karnak,First attempt,4,4/5,"I decided not to spend ages picking Heroes, so I jumped with Gorgon and Karnak to lean into the ""When Recruited"" abilities to hopefully give a little speed and flexibility. I'm not sure it totally worked; sometimes I had to resist buying a decent Hero because the timing meant I'd ""waste"" the When Recruited ability. But there were definitely a few good combo moments. I'd hoped maybe to get Karnak's rare so the When Recruited abilities could be re-used, but it never came out. Oh, I did also steer clear of any Heroes with especially large printed Attack so as not to pump up Maximus's ""Highest Abomination"", and that did work out. Unfortunately I still got Carnage's 6-attack Rare 

I expected them to be long games since we'd likely have to hit the Mastermind at least 9 times, and they were. I was mostly able to time attacking Symbiotes to prevent them from Bonding, and generally keeping the City clear was straightforward; it was just a matter of getting 11-14 attack as many times as possible. I did starve myself of Recruit a bit both by culling Shield Agents and in my Hero selections, which occasionally meant Hidden Witnesses gummed up the works. In the end, both games were very long, but the slightly longer one had much higher points-per-turn, so I'm submitting that.

MVP honestly was probably Detective Wolverine, as he Investigated *two* Scheme Twists to the bottom of the Villain deck in Game 1 and assured me that at least I wouldn't have an early loss. A similar event in Game 2 let me put one Scheme Twist down there, which certainly made things less stressful. Investigate can be a crazy powerful keyword."
,,8,caseystahl1125,42,37,79,8th,No (1),8th,44 (1),7th,1 (1.5),8th,1.795 (1),4.5,,5,13,Venom (Venomverse),Venom (Venomverse),I did not play a second attempt.,I did not play a second attempt.,First attempt,5,5/5,"I like Venom Carnage and  Venompool...maybe not the best choice for this set up , but I like playing them...if I don't make it..enter me in the Elimination Bracket"
,,-,Ashyy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,                                                            Eliminated,,,,,,,,,,,,,,,,,,,,,,
E2,Dr. Doom Replaces Earth's Leaders with Killbots,1,Mangostrike,25,33,58,1st,Yes (2.5),1st,25 (4),1st,1 (3),1st,2.32 (4),13.5,,8,16,Black Widow,Captain America,Black Widow,Deadpool (Unaffiliated),Second attempt,4,4/5,"Deadpool did some work, very glad to have dropped Cap for him. On the other hand, Wolverine got a nice little engine going, drawing almost every card each turn at the end."
,,2,Coldvein & Raja0629,33,42,75,1st,Yes (2.5),3rd,33 (1.5),1st,1 (3),2nd,2.273 (3),10,,9,21,Iron Man,Hawkeye,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,5/5,High amount of attack cards made it fun to play.
,,3,Astigmatic_Oracle,26,24,50,1st,Yes (2.5),2nd,26 (3),4th,2 (1),3rd,1.923 (2),8.5,,2,3,Cyclops,Hawkeye,Cyclops,Hawkeye,First attempt,2,2/5,Core Thor never fails to disappoint.
,,4,jgoodnough,28,33,61,1st,Yes (2.5),3rd,33 (1.5),1st,1 (3),4th,1.848 (1),8,,5,14,Gambit,Spider-Man,Gambit,Spider-Man,Second attempt,5,5/5,Fun game
E3,Shadow King Traps Heroes in the Microverse,1,CGlied,25,19,44,1st,Yes (3.5),2nd,20 (5),1st,1 (5.5),3rd,2.2 (4),18,,6,0,Aurora & Northstar,Ant-Man,Aurora & Northstar,Ant-Man,First attempt,3,3/5,"Tougher setup to get a good engine going. I was able to win on both attempts, with way more VP on the 2nd go around, but a quicker game on the 1st."
,,2,Canis & Mamabird,30,14,44,1st,Yes (3.5),1st,17 (6),5th,3 (2),1st,2.588 (6),17.5,,16,0,Jubilee,Dazzler,Jubilee,Dazzler,Second attempt,3,3/5,"havok/ wonder man on one side , lightshow on the other side, worked but took some time, scheme twist shoved 3 Greithoth out before we could wind up"
,,3,GZUZROCKS & MyBestPardner,27,17,44,1st,Yes (3.5),3rd,23 (3.5),1st,1 (5.5),6th,1.913 (1),13.5,,10,1,Aurora & Northstar,Phoenix,Aurora & Northstar,Phoenix,First attempt,3,3/5,This one was pretty easy. X-men just rolled over everyone. Shadow king went home crying.
,,4,Lasombra81,40,13,53,1st,Yes (3.5),3rd,23 (3.5),6th,4 (1),2nd,2.304 (5),13,,27,0,Cannonball,Colossus & Wolverine,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,4/5,-
,,5,Mikeygill97,46,21,67,1st,Yes (3.5),6th,32 (1),3rd,2 (3.5),4th,2.094 (3),11,,25,2,Banshee,Polaris,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,5/5,"Despite having all but one scheme twist played, only 2 villains escaped. Choosing Banshee and Polaris gave me the upper hand due to soaring flight and combo with Piercing Energy helped keep the city clear. The final blow was dealt with 3 Amulets of Avalon which I chose range as the color and obliterated Shadow King!"
,,6,Pervavita & CatSwiftie,13,35,48,1st,Yes (3.5),5th,24 (2),3rd,2 (3.5),5th,2 (2),11,,22,2,Aurora & Northstar,Ms. America,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,4/5,"Lots of Scheme twist snowballing into more twist. Our 2nd attempt we lost on turn 8 as they just hit one after another.
Fun setup."
