Pod,Setup,Rank,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Diff.,"By-
standers
rescued","Hero Choice 1
(Attempt 1)","Hero Choice 2
(Attempt 1)","Hero Choice 1
(Attempt 2)","Hero Choice 2
(Attempt 2)","Attempt
Used",Fun Level (no slash),Fun Level,Comments
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,
,,,,                                                            Upper Bracket,,,,,,,,,,,,,,,,,,,,,,
,,2,RemingtonChase,67,30,97,1st,Yes (5.5),3rd,26 (6.5),1st,0 (6.5),3rd,3.731 (7),25.5,,37,22,Bishop,Jean Grey,Bishop,Jean Grey,Second attempt,3,3/5,"I went into this setup not adequately considering Illuminati and its hard nerf on draw. I saw Iceman in the setup and just wanted to ramp up with him. My general idea was to have Bishop and Iceman draw a bunch and provide resources before having Jean Grey's rare give me a bunch of bystanders. This, as I learned in the first game when Jean Grey's rare and most of Iceman's commons were KO'd by the scheme, was a foolish plan. But I stuck with it anyway and luckily on the second go was more-or-less able to get the strategy I wanted. Illuminati was extremely annoying and I had to monitor them closely, Sentinel Squad almost caused a couple escapes. It was a nerve-wracking game, but way more successful than my first."
,,3,Redblock,45,41,86,1st,Yes (5.5),3rd,26 (6.5),1st,0 (6.5),5th,3.308 (5),23.5,,4,5,Gladiator Hulk,Forge,Gladiator Hulk,Forge,Second attempt,5,5/5,Hulk is King! and he owns Illiuminati as it should be based on comics :D
,,4,Frank7666,61,38,99,1st,Yes (5.5),1st,24 (8.5),9th,3 (1),2nd,4.125 (8),23,,23,4,Sunspot,Wolfsbane,Sunspot,Wolfsbane,Second attempt,4,4/5,Been awhile since I played new mutants
,,5,snash108 & SBPKECN,56,32,88,1st,Yes (5.5),5th,27 (5),1st,0 (6.5),6th,3.259 (4),21,,24,5,Bishop,Professor X,Bishop,Professor X,First attempt,5,5/5,"Ranged deck versus Multiple Man, which somehow paired with Outwit, that worked seamlessly somehow. Both sides pulled their weight, and in fact the Outwit side managed to Transfirm 4 of Cho's cats in the same turn, hitting the MM twice!!"
,,6,Snatchcat,51,84,135,1st,Yes (5.5),7th,32 (2.5),7th,1 (2.5),1st,4.219 (9),19.5,,33,51,Angel,Gladiator Hulk,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,5/5,"With the Illuminati on their transformed side, player 2 generated an infinite loop of drawing and pitching Angel's Diving Catch to clear out the Bystander stack. I'm not sure if I could have repeated the effect with a second playthrough, so although my 1st run wasn't the cleanest I felt like it was good enough to submit immediately. Hopefully the VP I earned will pull me to the top."
,,7,SilverFirePrime,50,34,84,1st,Yes (5.5),6th,29 (4),1st,0 (6.5),7th,2.897 (3),19,,16,0,Jean Grey,Professor X,Jean Grey,Professor X,Second attempt,3,3/5,"This setup seems to boil down to 'can you get Iceman's set to go off' If the answer is yes, congratulations on your win.  If not, you're gonna have a bad time"
,,8,JesterJeeto,33,47,80,1st,Yes (5.5),7th,32 (2.5),1st,0 (6.5),8th,2.5 (2),16.5,,14,3,Shatterstar,Siryn,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,4/5,I wish I had time this week to play a second attempt.
,,9,Drewfusmcge,45,47,92,9th,No (1),9th,39 (1),7th,1 (2.5),9th,2.359 (1),5.5,,2,4,Angel,Forge,Angel,Forge,Second attempt,3,3/5,Gosh what a brutal setup. Bad luck in both attempts was enough to make me lose for sure. Got real close on the second attempt but just ran out of time. Week five is my new record though so I'm happy! GG to everyone!
,,,,                                                            Eliminated,,,,,,,,,,,,,,,,,,,,,,
E4,The Sentry Causes Ragnarok,1,CGlied,38,41,79,1st,Yes (4),1st,29 (5.5),1st,0 (3.5),1st,2.724 (6),19,,3,4,Caiera,"Joe Fixit, Grey Hulk",Caiera,"Joe Fixit, Grey Hulk",First attempt,4,4/5,"Fun game. Figured that there'd be wounds galore, so smash effects and/or KO's would come in handy. Got lucky on Lady Sif's rare and that helped carry the day. 2nd setup was a disaster. I couldn't keep the city clear and the twists just wouldn't stop."
,,2,Mangostrike,53,6,59,1st,Yes (4),1st,29 (5.5),1st,0 (3.5),4th,2.034 (3),16,,47,5,Thor (Heroes of Asgard),Beta Ray Bill,Beta Ray Bill,Thor (Heroes of Asgard),First attempt,5,5/5,"Probably better choices, but couldn’t pass up the chance to run the theme."
,,3,AdvSwaY,27,44,71,1st,Yes (4),4th,32 (3),1st,0 (3.5),2nd,2.219 (5),15.5,,17,5,Multiple Man,Warpath,Multiple Man,Warpath,Second attempt,4,4/5,"Pretty fun setup although it seemed to take forever. First attempt was over 40 turns. Using Warpath, Korg for investigate and draw allowed me to recycle Sif's thrown artifacts to great success. MM was meh, i thought he would work better with Moon Knight but it was not as effective as I thought it would be."
,,4,Astigmatic_Oracle,39,22,61,1st,Yes (4),3rd,31 (4),1st,0 (3.5),5th,1.968 (2),13.5,,17,3,Beta Ray Bill,Gladiator Hulk,Beta Ray Bill,Gladiator Hulk,First attempt,4,4/5,"Since this is the E Bracket, I just went with what heroes looked fun together. Beta Ray Bill was great with the discard theme from WWH. I didn't get Stormbreaker to show until game 2, but when I did it was great. First game was faster though, so I entered that one."
,,5,GZUZROCKS & MyBestPardner,22,44,66,1st,Yes (4),5th,34 (2),1st,0 (3.5),6th,1.941 (1),10.5,,22,3,"Joe Fixit, Grey Hulk",Thor (Heroes of Asgard),I did not play a second attempt.,I did not play a second attempt.,First attempt,3,3/5,So so scenario. Korg helped with wounds and joe fix it kept scenario under control.
,,6,Off the Cuff,42,45,87,6th,No (1),6th,40 (1),1st,0 (3.5),3rd,2.175 (4),9.5,,3,3,Beta Ray Bill,"Skaar, Son of Hulk",Beta Ray Bill,"Skaar, Son of Hulk",First attempt,3,3/5,"Got down to the Final Blow. I thought this was a shoo-in when I had 5 Twists come up early, but the late-game ones screwed me."
,,-,Canis & Mamabird,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,-,Pervavita & CatSwiftie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E5,Galactus' Legacy Virus,1,Ashyy,32,17,49,1st,Yes (5),1st,19 (6),4th,7 (2.5),1st,2.579 (6),19.5,,15,5,Nick Fury,Rogue,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,3/5,Quite an easy set up tbh.. but underestimated galactus.. almost had me there..
,,2,Coldvein & Raja0629,45,32,77,1st,Yes (5),3rd,34 (4),4th,7 (2.5),2nd,2.265 (5),16.5,,13,17,Nick Fury,Mr. Fantastic,Nick Fury,Mr. Fantastic,Second attempt,5,5/5,Awesome setup.  Intense as always when Galactus is involved.
,,3,jgoodnough,21,16,37,1st,Yes (5),2nd,33 (5),6th,11 (1),4th,1.121 (3),14,,5,3,Nick Fury,Mr. Fantastic,Nick Fury,Mr. Fantastic,Second attempt,3,3/5,Several Master Strikes at beginning made for a tough game
,,4,caseystahl1125,26,29,55,4th,No (2),4th,30 (3),2nd,6 (4.5),3rd,1.833 (4),13.5,,3,14,Mr. Fantastic,Rogue,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,5/5,Galactus Hungers
,,5,Mikeygill97,20,4,24,4th,No (2),5th,25 (2),2nd,6 (4.5),5th,0.96 (2),10.5,,16,2,Mr. Fantastic,Black Widow (Avengers),I did not play a second attempt.,I did not play a second attempt.,First attempt,1,1/5,Blah!
,,6,FlipFlopManiac,10,6,16,4th,No (2),6th,20 (1),1st,2 (6),6th,0.8 (1),10,,4,3,Mr. Fantastic,Silver Surfer,Mr. Fantastic,Silver Surfer,Second attempt,2,2/5,"Big-time Bagelshuffle™, 6 twists and two strikes in 20 turns.  The recruit > focus plan didn't pan out, too many wounds disrupting my plans."
,,-,freeclint & gnomemaster,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,-,Lasombra81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
