Pod,Setup,Rank,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Diff.,"By-
standers
rescued","Hero Choice 1
(Attempt 1)","Hero Choice 2
(Attempt 1)","Hero Choice 1
(Attempt 2)","Hero Choice 2
(Attempt 2)","Attempt
Used",Fun Level (no slash),Fun Level,Comments
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,
,,,,                                                            Upper Bracket,,,,,,,,,,,,,,,,,,,,,,
36,EPIC Indestructible Man Unleashes the Abilisk Space Monster,1,MicroDisney0505,76,51,127,1st,Yes (1.5),1st,27 (1.5),1st,0 (1.5),1st,4.704 (2),6.5,,25,8,Black Widow (S.H.I.E.L.D.),Yelena Belova,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,3/5,Hopefully I did enough.  I started recruiting anything in the hq with a plan to send it undercover.  Storm wounding villains was very helpful as the city was full a lot of the game.
,,2,BleshInTheFlesh,56,36,92,1st,Yes (1.5),1st,27 (1.5),1st,0 (1.5),2nd,3.407 (1),5.5,,20,20,The Ancient One,The Vishanti,The Vishanti,The Ancient One,Second attempt,4,4/5,"Round was tough, waiting for the assassins was painfully slow. Enjoyed the tournament."
,,,,                                                            Eliminated,,,,,,,,,,,,,,,,,,,,,,
E13,EPIC Lady Deathstrike's Earthquake Drains the Ocean,1,CGlied,63,31,94,1st,Yes (4),2nd,35 (5),3rd,4 (3.5),1st,2.686 (6),18.5,,32,14,M,Fantastic Four United,M,Fantastic Four United,Second attempt,3,3/5,"That was a tough setup, but fun. The first game was 21 turns and I was surprised I lasted that long before the game spit me out. I was a little luckier in the second game with the twists, which allowed me to have a roomier city for more than a turn. That gave me space to clean stuff out. Can I also request that we pull Rocket Test Pilot out of the bystander rotation? His hyperspeed inevitable costs me an uncommon or rare. I will not be held responsible if my dog ""gets a hold of it""."
,,2,Off the Cuff,68,34,102,1st,Yes (4),5th,42 (2),1st,1 (6),2nd,2.429 (5),17,,34,3,Scarlet Spider,War Machine,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,4/5,"This went much smoother than I thought. I pulled a lot of early Twists and managed to keep the City large as long as possible. Also, Galactus didn't want to come out to play."
,,3,Astigmatic_Oracle,46,48,94,1st,Yes (4),3rd,39 (4),2nd,3 (5),5th,2.41 (2),15,,2,4,Siryn,Symbiote Spider-Man,Siryn,Symbiote Spider-Man,First attempt,3,3/5,"Weaponized Galactus is such a pain in this setup. If he escapes in the small city, you basically have to pray he doesn't come back because if he escapes in the small city again, every time a Sentinel Clone appears you'll have an escape. The heroes were very fun. I noticed lots of 2s and top deck manipulation, so I went with Symbiote Spidey to capitalize on that opportunity. Siryn was because she has a good 2 for Spidey, Ranged and Covert colors to go with triggers, and I just really love Shatter."
,,3,Mangostrike,53,17,70,1st,Yes (4),1st,29 (6),5th,5 (2),4th,2.414 (3),15,,36,5,Fantastic Four United,Psi-Lord,Darkhawk,War Machine,Second attempt,4,4/5,"This was very confusing for me due to the high number of new keywords I haven’t seen before. Figuring out how to use the sentinels to thin my deck, getting lucky with long stretches of tide out and refraining from over recruiting really helped.

Last turn of the game I used a small deck with lots of hyper speed and the rares for brainstorm and war machine to hit lady deathstrike three times. Very satisfying. "
,,5,AdvSwaY,43,54,97,1st,Yes (4),4th,40 (3),3rd,4 (3.5),3rd,2.425 (4),14.5,,11,10,Darkhawk,War Machine,Darkhawk,War Machine,First attempt,5,5/5,"Fun game but took way to long. Was able to grab Darkhawk""s and Brainstorm""s rare in the early stages of the game. Unfortunately they spent most of the game getting hyperspeeded. First time i was able to build solid hyperspeed decks."
,,6,Snatchcat,22,16,38,6th,No (1),6th,33 (1),6th,7 (1),6th,1.152 (1),4,,6,1,War Machine,Scarlet Spider,Fantastic Four United,Multiple Man,First attempt,3,3/5,"Challenging match, I wasn't ready for all the wounds."
