Pod,Setup,Rank,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments
,,2,TheMelkMan & Snapcity57,30,20,50,1st,Yes (5.5),1st,16 (10),1st,0 (6.5),3rd,3.125 (8),30,,10,6,4,2,12,4,0,0,22,Colossus,Human Torch,Colossus,Human Torch,Second attempt,2,Another round of melking
,,3,Dre 2 point 0,46,45,91,1st,Yes (5.5),6th,28 (4.5),1st,0 (6.5),2nd,3.25 (9),25.5,,1,6,0,2,2,4,0,0,8,Angel,Wolverine (X-Force),I did not play a second attempt.,I did not play a second attempt.,First attempt,5,Great setup! Both decks took off amazingly well. Stryfe’s final tactic put the last 3 master strikes into play! But he still didn’t stand a chance!
,,4,SharkNate-O & onthegeniusofsamrockwell,57,14,71,1st,Yes (5.5),3rd,25 (7.5),1st,0 (6.5),5th,2.84 (6),25.5,,43,3,2,3,6,3,0,0,14,Wolverine (X-Force),"Captain America, Secret Avenger",Wolverine (X-Force),Iceman,Second attempt,4,"Our first game went absolutely horrible. A combination of the twists and strikes coming out quickly really put us under the water and eventually lost due to scheme twists. We decided to put in Iceman instead of cap and it was a much better choice. Wolverine was the MVP this game. Player 2's deck was a little slower due to a lot of his cards being put back into the hero deck from the herald villains. Player 1 was able to get a LOT of card draw and was able to get wolverine's ultimate early in the game while KO'ing all his grey cards. By turn 22, player one was drawing his entire deck each turn, and being able to hit the Mastermind twice each turn. Game was over pretty fast from there on out."
,,5,Jmaster1324,33,33,66,1st,Yes (5.5),3rd,25 (7.5),1st,0 (6.5),7th,2.64 (4),23.5,,0,2,2,2,6,4,0,0,14,Wolverine (X-Force),Forge,Mr. Fantastic,Wolverine (X-Force),Second attempt,4,"Stryfe is always a good time especially when paired with his always lead the MLF. Honestly, I should have known better than to take Forge for game one. He really needs to show up to be useful. I don't even think I saw his rare. However, Mr. F got me to the point of drawing my whole deck every turn giving me the freedom to clear out of Heralds before finishing off Stryfe still faster than game one."
,,6,Aaron4DotOh,57,12,69,1st,Yes (5.5),5th,27 (6),1st,0 (6.5),9th,2.556 (2),20,,45,1,1,2,5,3,0,0,11,Human Torch,Forge,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,Fun setup but too easy. Stryfe is not a challenging Mastermind. His tactics are mildly annoying. Human Torch and Invisible Woman were an awesome tag team. I got Nova Flare early so it made the game easy for Player 1.
,,7,Cobrawarrior521 & Cobrev,53,24,77,1st,Yes (5.5),8th,29 (2.5),1st,0 (6.5),6th,2.655 (5),19.5,,29,3,1,1,5,2,0,0,9,Storm & Black Panther,Cloak & Dagger,Storm & Black Panther,Cloak & Dagger,First attempt,2,N/A
,,8,Freeclint,33,51,84,1st,Yes (5.5),6th,28 (4.5),9th,1 (1.5),4th,3 (7),18.5,,18,7,0,3,4,2,0,0,9,Colossus,Hulk,Colossus,Hulk,Second attempt,5,Liked this a lot.  The master strikes sure piled up fast though.
,,9,Gambit34,30,43,73,1st,Yes (5.5),8th,29 (2.5),1st,0 (6.5),10th,2.517 (1),15.5,,13,8,1,1,6,2,0,0,10,Cable,Thing,Cable,Thing,First attempt,4,Fun game! We had to really strategize when it came to the HQ once we pulled too many scheme twists to try to stay in the game.
,,10,ggyppt,72,18,90,1st,Yes (5.5),10th,35 (1),9th,1 (1.5),8th,2.571 (3),11,,54,3,0,1,2,1,0,0,4,Forge,Patriot,Forge,Patriot,First attempt,4,The interplay between Professor X's rare and the MANDROIDS is super fun
20,Secret Society Summons Several-Headed Serpent,1,Justitiana,64,14,78,1st,Yes (6),1st,25 (8),1st,0 (5.5),1st,3.12 (8),27.5,,50,1,2,5,4,4,2,0,17,Amadeus Cho,Moon Knight,Amadeus Cho,Moon Knight,First attempt,4,"Fun level of 4/5 is purely due to first attempt. That one went super well and took only 25 turns. Attempt 2 was, as expected, not even close and I lost that one in just 24 turns.

For attempt 1 and hero choices (for both), I made good use of both my choices, Amadeus Cho and Moon Knight. Their Instinct cards also helped out to trigger the Super Power On Mockingbird's 3-cost. Note that only Hand 1 went super well. Hand 2 merely managed to clear the occasional villain from the city and to recruit from HQ what wasn't really good for the other hand.

Deck 1 ended up with Amadeus Cho's 6-cost, one of his 2-costs and a transformed 3-cost (which is a 5-cost), 2 of Mockingbird's 3-cost and some moon knight (a 2 attack common and one uncommon) and some of Hulkbuster Iron Man's 4-costs and K.O.-ing and/or sending undercover all but on of the starters. The end result was a very consistent and powerful deck even early on. I remember defeating Illuminati as early as turn 12, which in attempt 2 took until turn 21.

Deck 2 wasn't really powerful, it began to hope for Symbiote Spider-man, but he rarely appeared, so switched over to some Moon Knight and tried to help out, but barely could.

For the Villain Deck things went pretty well. From the start this setup seemed bery hard, and in attempt 2 it turned out to be so, but thanks to a lucky shuffle I ended up pulling only 4 Scheme Twists and managing to avoid painful Master Strikes. The ""drawing cost a discard"" effect was annoying, but my deck 1 was good enough to be able to defeat the Illuminati despite their rule. And sometimes it wasn't active, so then I really could do great turns. Outwit was never an issue and only Black Bolt proved unbeatable in the city (I'd rather defeat the Mastermind than him when I managed 13 attack)."
,,2,WingedCrusader,54,31,85,1st,Yes (6),2nd,30 (7),1st,0 (5.5),3rd,2.833 (6),24.5,,23,2,2,4,2,3,1,0,12,Deathlok,Bruce Banner,Deathlok,Bruce Banner,First attempt,4,"Illuminati is is annoying with the discard, but deathlok with his uncommon came through.  The other side had an interesting symbiote spiderman deck which was quite fun.  I had 2 rares, bruce banner and HB ironman rare which worked wonders, especially with deathlok's 2 cost cycling through (at least when it was against the normal illuminati) Overall pretty fun!"
,,3,coldvein & raja,48,38,86,1st,Yes (6),4th,35 (5),1st,0 (5.5),4th,2.457 (5),21.5,,10,2,0,1,4,1,1,0,7,Amadeus Cho,Gladiator Hulk,Amadeus Cho,Gladiator Hulk,Second attempt,5,Nice setup.  The transformations always found a way to thwart our plans.
,,4,Silverfox & BLUsHINgETHeR,70,27,97,1st,Yes (6),3rd,34 (6),8th,2 (1),2nd,2.853 (7),20,,43,6,1,2,1,2,0,0,6,Black Cat,Deathlok,Black Cat,Deathlok,First attempt,1,Discarding when you draw is no fun! Also having a hero that gets shield clearance from taking shield officers from the stack is not good for this scheme.
,,5,Handballermann & Efruhuhn,65,34,99,1st,Yes (6),5th,41 (4),1st,0 (5.5),5th,2.415 (4),19.5,,31,6,0,0,1,0,0,0,1,Deathlok,Amadeus Cho,Deathlok,Amadeus Cho,Second attempt,1,"First round was a stomp. Scheme Twists came to close together and gave us an unavoidable defeat..
For the second round we focussed und buying/killling scheme officers (and had enough card luck). Towards the end we thought we could'nt get enough damage to the mastermind, 'cause there were 2 Twists waiting for us. So we started playing for a as late as possible defeat. But some player deck draw luck gave us enough damage to defeat 4 masterminds in the last 6 rounds, as well as keeping the scheme officers below 14 for the last two twists. 
The unexpected win felt great, but we hadn't much fun playing this setup: Master Strike timing sucked (one very early), Scheme was hard, Mastermind was op, set heroes were opposing the mastermind very hard, Feast didn't help as well.

Glad we're past this one..."
,,6,Pervavita & Catswifti,34,31,65,6th,No (2),7th,38 (2),1st,0 (5.5),6th,1.711 (3),12.5,,3,6,0,1,0,3,0,0,4,Bruce Banner,Hellcat,Bruce Banner,Hellcat,First attempt,4,"Our first game we could manage the city fine as well as the SHIELD stack but as the HQ got clogged with Rares and we tried to avoid too many SHIELD in our decks we couldn't get enough attack for the MM. There were a few turns that we came up 1 fight short. Then the Scheme hit back to back causing us to lose. 
Our second game we were able to get our decks going fine even though a few villains escaped due to just big villains the first few turns mixed with twist and strikes. The problem here was our twist hit early and back to back again not giving us time to clear the stack. "
,,7,GamerGump & Kendycrow,23,18,41,6th,No (2),8th,26 (1),1st,0 (5.5),7th,1.577 (2),10.5,,5,4,2,3,6,4,0,0,15,Agent Phil Coulson,Gladiator Hulk,She-Hulk,Gladiator Hulk,Second attempt,2,"Spiderman was no help, the scheme/mastermind was good, could not get a way to make heroes to work."
,,8,Montax30,33,26,59,6th,No (2),6th,39 (3),7th,1 (2),8th,1.513 (1),8,,7,5,0,0,0,0,1,0,1,Agent Phil Coulson,Bruce Banner,I did not play a second attempt.,I did not play a second attempt.,First attempt,1,I hate the Illuminati
,,9,DanDare10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,10,Guardian06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,Ebony Maw Declares it Opposite Day,1,ChuckBauer,48,11,59,1st,Yes (9.5),1st,18 (10),1st,0 (8.5),1st,3.278 (10),38,,37,4,1,3,9,8,1,0,22,Silver Surfer,Thor (Avengers),Silver Surfer,Thor (Avengers),Second attempt,4,"Brought heroes who could help make attck out of recruit, so one side could build an ""attack"" deck, while the other went with a ""recruit deck. Therefore brought Silver Surfer and Thor.

Was extraordinarily lucky in both games, picking up Silver Surfer's rare in attempt 1, and ""Pure Fury"" in attempt 2. Pure Fury was definitely the better card though. Ended up with a deck of 6 cards on that side at the end of the game. Early strikes(where I only had starters in hand) definitely helped. Think I used up all my luck for the week on this!!"
,,2,Babybreloom,25,31,56,1st,Yes (9.5),2nd,22 (9),5th,1 (5),2nd,2.545 (9),32.5,,6,2,3,2,7,5,0,0,17,Thor (Avengers),Captain Marvel (MCU),Silver Surfer,Mr. Fantastic,Second attempt,4,"I should have started with my G2 heroes to begin with! G1 I got really lucky with Nick Fury, but G2 felt SO MUCH smoother! I got Silver Surfer's rare and just went nuts while I was in the negative zone."
,,3,CaptainMetroidica,31,53,84,3rd,No (4.5),3rd,37 (7.5),1st,0 (8.5),3rd,2.27 (8),28.5,,22,4,0,1,2,2,0,0,5,Mr. Fantastic,Thor (Avengers),Mr. Fantastic,Thor (Avengers),First attempt,3,"I was feeling good at the beginning when I could get 10 recruit a turn and hit the mastermind. Then once things switched to needing 15 I was pretty much hopeless. It required significant luck to get there, and I just didn't have it."
,,4,Izalot,34,43,77,3rd,No (4.5),5th,34 (5.5),1st,0 (8.5),4th,2.265 (7),25.5,,9,6,1,1,3,2,0,0,7,Human Torch,Silver Surfer,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"Nailed with the 7th scheme twist, had hit Ebony Maw 3 times...oh well!"
,,5,Off the Cuff,15,51,66,3rd,No (4.5),5th,34 (5.5),5th,1 (5),5th,1.941 (6),21,,36,13,1,1,3,1,0,0,6,Iron Man,Mr. Fantastic,Iron Man,Mr. Fantastic,First attempt,1,"Call me salty, but I really don't think Epic Masterminds should be used in tournaments like this outside of the Finals. Especially paired with this Scheme, it feels so mean-spirited and doesn't make me look forward to playing that week's setup"
,,6,Mikeygill97,44,17,61,3rd,No (4.5),3rd,37 (7.5),8th,2 (2.5),8th,1.649 (3),17.5,,27,6,0,1,1,0,0,0,2,Mr. Fantastic,Black Panther (MCU),I did not play a second attempt.,I did not play a second attempt.,First attempt,2,"Not having the Sidekicks caused a huge dilemma, and the inopportune times of the twists and the strikes coming out as they did. At least I was able to hold out as long as I did with the final twist arriving to end my chances of winning."
,,7,Brentcampbell9790,38,20,58,3rd,No (4.5),7th,32 (3.5),5th,1 (5),7th,1.813 (4),17,,18,2,1,1,4,1,1,0,8,Invisible Woman,Thor (Avengers),Human Torch,Captain Marvel (MCU),Second attempt,1,"This game really cemented my absolute loathing for Epic Ebony Maw. His Master Strike ability always triggered when I had a rare/ or a pivotal card. That, in combination with the Scheme flip-flopping between Attack/Recruit, led to an aggravating series of matches. First game I thought Invisible Woman and Thor would help KO unwanted cards/rescue some Bystanders and get lots of Recruit but I just seemed to get clogged on their cards. So for game 2 I switched to a strategy of Human Torch for pure power and Captain Marvel for draws. It definitely worked better but I still couldn't pull it off."
,,8,Gideon Wyatt & Wife,36,10,46,3rd,No (4.5),10th,29 (1),1st,0 (8.5),9th,1.586 (2),16,,26,7,0,1,9,1,0,0,11,Mr. Fantastic,Thor (Avengers),Mr. Fantastic,Thor (Avengers),Second attempt,2,"What a brutal game. HQ had 4 6 cost heroes at set-up. After 1st recruit, all 6 cost. Got a lucky draw and was able to buy something after my first shuffle. Attack and recruit would swap at the worst time, too. In game 2, I had a pretty lean deck with Mr. Fantastic and Thing. Lost 2 of my twisting equations to Doombots back to back, just to immediately lose both my One Gigantic Hand and Crime Stopper to back to back Master Strikes. I went from a deck that worked, to a deck with 9 cards, 10 recruit and 3 attack. Rebuilding at turn 20 from scratch, just for attack to be used to recruit cards killed us. Bad timing all around."
,,9,jgoodnough,23,35,58,3rd,No (4.5),9th,30 (2),10th,3 (1),6th,1.933 (5),12.5,,12,5,1,1,2,2,1,0,7,Wanda & Vision,Thor (Avengers),Wanda & Vision,Thor (Avengers),Second attempt,5,Very frustrating yet very fun game.  I got enough strikes to hit Ebony but then drew a twist.  So I recruit Thor's rare instead.  Thor's rare finally shows in my hand and I drew a Strike (by by Thor).  My games continued in this way until Ebony Maw destroyed me. But it was still very fun.  I am going to play the scenario more and see if I can get a win...one day.
,,10,Drewfusmcge,26,20,46,3rd,No (4.5),7th,32 (3.5),8th,2 (2.5),10th,1.438 (1),11.5,,6,2,0,1,4,3,0,0,8,Mr. Fantastic,Hulk,Silver Surfer,Thor (Avengers),First attempt,2,Soooo many good cards KOd by Maw's Master Strike. Just two really rough games. My second game was actually going ok but unfortunately I had 18 cards left in the VD when I got twist 7 to lose. Just unfortunate luck and also maybe a skill issue. GG to everyone! Another fun tournament despite my performance.
22,Taskmaster's School for Copycats,1,captaincardone & paisley5002,58,7,65,1st,Yes (5.5),2nd,22 (9),1st,0 (9),4th,2.955 (7),30.5,,51,13,4,3,16,6,2,0,31,Black Widow,Angel,Black Widow,Angel,First attempt,5,Black Widow go BRRRRRR!!!!!
,,2,Avataristche,42,18,60,1st,Yes (5.5),5th,24 (5.5),1st,0 (9),5th,2.5 (6),26,,24,8,4,4,9,4,2,6,29,Black Widow,Rogue,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,I hope it was fadt enough
,,3,Mangostrike,34,13,47,1st,Yes (5.5),1st,21 (10),4th,1 (6),7th,2.238 (4),25.5,,21,1,3,6,9,5,1,8,32,Domino,Stepford Cuckoos,Black Widow,Nick Fury,First attempt,4,"I threw in the Stepford coocoos for some cheap heroes, but the cloning really helped and Deadpool’s Oddball put out so much damage with the number of 3 cost heroes I drafted. This was a fun puzzle but I feel I needed a better KO hero as my deck got a little clogged. Wish I had access to XF Wolverine instead of Domino."
,,4,snash108 & SBPKECN,85,9,94,1st,Yes (5.5),7th,25 (3),4th,1 (6),1st,3.76 (10),24.5,,76,41,5,3,10,1,1,6,26,Black Widow,Rogue,Black Widow,Rogue,Second attempt,5,"Prior to the final turn, we had a whopping 11 bystanders, Then snash played Hawkeye's rare, aquired a few turns prior. With 3 copies of Widow's uncommon in hand, and an almost full city. It was a bloodbath!!"
,,5,zorotok,67,9,76,1st,Yes (5.5),5th,24 (5.5),8th,3 (2.5),2nd,3.167 (9),22.5,,58,23,3,5,6,7,1,9,31,Jean Grey,Black Widow,Jean Grey,Black Widow,First attempt,5,Had to try for bystanders on this set up. I felt heroes had good synergy.
,,6,Flipflopmaniac,45,7,52,1st,Yes (5.5),3rd,23 (7.5),7th,2 (4),6th,2.261 (5),22,,38,4,5,5,8,5,0,7,30,Colossus,Strong Guy,Colossus,Strong Guy,Second attempt,4,"M, Colossus, and Strong Guy was the core of both decks, Hawkeye's draw card was appreciated but other than that the other three heroes didn't pull their weight.  City moved a lot quicker than it did in my first game but I submitted the second for a better VP and turn count.  Hoping that due to heroes in the villain deck that the low VP is enough this week."
,,7,OllieKitKat,51,26,77,1st,Yes (5.5),7th,25 (3),8th,3 (2.5),3rd,3.08 (8),19,,25,21,4,4,6,5,1,7,27,Black Widow,Stepford Cuckoos,Black Widow,Stepford Cuckoos,First attempt,3,"Meh. My idea was to try and stick to something with low cost in order to make it more likely to keep Taskmaster's buff and the attack needed to fight heroes in the city down. Didn't really matter, both games just couldn't get a good enough break early on."
,,8,yeeches,38,16,54,1st,Yes (5.5),7th,25 (3),4th,1 (6),8th,2.16 (3),17.5,,22,1,4,5,6,6,2,5,28,Domino,Colossus,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,Cost synergy worked out pretty well with M and Iron Fist decks. Domino & Colossus were good picks for low cost cards. I doubt I'll be high in the ranking from 1 escape and mid turn count.
,,9,cubbiesnextyr/sjoschko,45,8,53,1st,Yes (5.5),10th,27 (1),1st,0 (9),9th,1.963 (2),17.5,,37,9,2,5,7,6,1,5,26,Siryn,Wolverine (X-Men),Siryn,Black Widow,Second attempt,3,"The first attempt I forgot to add the 2 bystanders to the villain deck, oops!  Taskmaster is and his thunderbolts are annoying by keep putting the defeated henchmen back into the city.  I'm thinking of playing a 3rd time with this setup and just ignoring the henchmen and never fighting them."
,,10,GZUZROCKS & DaBomb,14,30,44,1st,Yes (5.5),3rd,23 (7.5),10th,4 (1),10th,1.913 (1),15,,16,0,1,4,10,6,2,6,29,Hulk,Rictor,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,This was SO thematic! Loved this set up! We brought in rictor to help with XForce and M to rack up some tactical formation combos. Hulk was useful to help KO some of our wounds and bring another avenger in to compliment Hawkeye. Great time!
,,,,Eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,General Annihilus Resorting for Duty,1,Annihilus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
