Pod,Setup,Rank,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments
,,,,,,,,,,,,,,,,,,,Strikes,Twists,Villains,Henchmen,Bystanders,Other,Total,1,2,1,2,,,
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,
,,,,Upper Bracket,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Anchorman: The Legend of Thanos,1,Sneke#1302,35,42,77,1st,Yes (5.5),1st,25 (10),1st,0 (7.5),1st,3.08 (10),33,,7,23,2,4,4,5,0,0,15,Invisible Woman,Lady Thor,Invisible Woman,Lady Thor,Second attempt,4,"Fighting moloids and ghost racers with invis woman as a hero led to very intense deck thinning, which powerful but terrible against master strikes :P"
,,2,Adrian Miller,7,61,68,1st,Yes (5.5),3rd,31 (8),1st,0 (7.5),3rd,2.194 (8),29,,54,6,3,4,3,1,0,0,11,Groot,Ultimate Spider-Man,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,.
,,3,Jalt & KaitieAlt,30,40,70,1st,Yes (5.5),4th,33 (6),1st,0 (7.5),5th,2.121 (6),25,,10,6,1,2,2,3,0,0,8,Apocalyptic Kitty Pryde,Apocalyptic Kitty Pryde,Star-Lord,Star-Lord,First attempt,4,Struggled to get the gems working and Black Bolt filled the HQ early which did not synergize with my strategy. AKP gave some KO power that really helped out but I couldn't get rolling until late in the game.
,,4,Bronson & Lighthouse,33,63,96,1st,Yes (5.5),10th,40 (1),1st,0 (7.5),2nd,2.4 (9),23,,30,27,0,0,0,0,0,0,0,Invisible Woman,Proxima Midnight,Invisible Woman,Proxima Midnight,Second attempt,3,"The setup was easier than we thought it was going to be - despite being kind of random the pre selected heroes were pretty versatile. 
Feel like we are testing the scoring formula this week. We decided to let it run til the last turn to maximize focusing for bystanders. We’ll see Wednesday if that was a good strategy or not. "
,,5,croy_boy,32,50,82,1st,Yes (5.5),9th,38 (2),1st,0 (7.5),4th,2.158 (7),22,,18,13,1,1,1,0,0,0,3,Invisible Woman,Proxima Midnight,I did not play a second attempt.,I did not play a second attempt.,First attempt,1,"Ehh... This just wasn't fun. Thanos is a pain, Ghost Racers are a pain, Subterranea is somewhat a pain (but at least you can do fun things with them, like fighting moloids extra times thanks to the Space Gem). And being forced to add Thor Corps to your deck when none of the heroes you're required to use have green or blue triggers. Speaking of those heroes, those weren't exactly fun either (Black Bolt ended up being helpful, but I don't like Scarlet Spider). It ended up being fine, I got lucky with my Invisible Woman rare a few robes to stop gems from getting shards and to stop Ghost Racers from resurrecting and causing escapes. Proxima Midnight enjoyed Black Bolt's double icons. I decided I didn't have the mental capacity to play another game, I feel like I didn't do well, but I also think it's possible that others didn't win based on the low power levels of some of the heroes."
,,6,Jinjoz,39,23,62,1st,Yes (5.5),2nd,30 (9),10th,2 (1),6th,2.067 (5),20.5,,16,3,0,2,3,3,0,0,8,Rocket Raccoon,Star-Lord,Rocket Raccoon,Star-Lord,First attempt,4,"Had a really rough start with a handful of higher HO villains which led to a few escapes. I didn't time my rise of the living dead very well, a d it was honestly kind of a messy game. Hopefully I scrape by"
,,7,BradyVBBB#6846,47,19,66,1st,Yes (5.5),4th,33 (6),7th,1 (3),7th,2 (4),18.5,,28,6,2,0,0,5,0,0,7,Spider-Woman,Lady Thor,Spider-Woman,Lady Thor,First attempt,2,With infinity gems not being any victory points it really sucked the life out of the game. Spider Woman did not work as well as I hoped.
,,8,R3DJ0N,27,32,59,1st,Yes (5.5),7th,34 (3.5),1st,0 (7.5),9th,1.735 (2),18.5,,5,8,3,2,5,2,2,0,14,Invisible Woman,Star-Lord,Invisible Woman,Star-Lord,Second attempt,4,In hindsight I probably should've saved these heroes for a harder scheme. Especially since only 1 copy of disappearing act showed up.  I spent a lot of turns in both games with not much to do because of lack of villains to fight and not enough gems showing up to lower Thanos' attack.
,,9,Mwade93,19,38,57,1st,Yes (5.5),4th,33 (6),7th,1 (3),10th,1.727 (1),15.5,,19,3,2,4,1,0,0,0,7,Groot,Ultimate Spider-Man,Groot,Ultimate Spider-Man,First attempt,4,I forgot how crazy Gamora's ultimate card is.  Was able to take out Thanos multiple times with just shards alone.
,,10,HatePhD & editedmist,37,28,65,1st,Yes (5.5),7th,34 (3.5),7th,1 (3),8th,1.912 (3),15,,9,4,2,0,1,3,0,0,6,"Namor, the Sub-Mariner",Captain Marvel,Captain Marvel,"Namor, the Sub-Mariner",Second attempt,5,Very fun. Pretty sure we're going to be right at the line again...
18, All Hail the Kingpin,1,AdamantiumGambit,53,44,97,1st,Yes (5.5),3rd,23 (8),1st,0 (8.5),1st,4.217 (10),32,,9,27,2,4,7,3,3,0,19,Angel,Jean Grey,Angel,Jean Grey,Second attempt,4,"Very fun setup, but it was on the easier end. Bribe made Villains easier to fight, and the clones gave some pretty sweet extra recruits"
,,2,Redblock,36,24,60,1st,Yes (5.5),1st,20 (9.5),1st,0 (8.5),4th,3 (6.5),30,,12,4,3,4,5,5,3,0,20,Groot,M,M,Groot,Second attempt,5,"Cocoos + M is my favourite combo, and with sinister clones it goes through the roof, second game gave me Cocoos rare fast, and M rare for few last turn for finishing, it was great"
,,3,NukinFoobs & N3m3sis,41,21,62,1st,Yes (5.5),1st,20 (9.5),5th,1 (6),3rd,3.1 (8),29,,20,2,2,5,6,5,3,0,21,M,Wasp,M,Wasp,First attempt,4,"Our first game went great until the last kingpin tactic forced an escape by playing a sinister clone, which then cloned itself. Stacking covert and cloning with m, wasp, and cuckoos went well with starlord and blade as support. Our second attempt ended up taking much longer and we had an escape very early on so we ended up not even bothering finishing because it would not end up quite as good as Game 1. Overall a fun setup."
,,4,Jean-Sebastien & Genevieve,52,22,74,1st,Yes (5.5),4th,25 (7),1st,0 (8.5),6th,2.96 (5),26,,30,2,2,4,2,5,3,0,16,M,Warpath,M,Warpath,Second attempt,4,"Clones are fun! I added M to the mix, but she and Warpath did not ended up doing much. Star-Lord and Blade were very good together. However, I lost 2 turns not doing much with them because of Scheme Twists, but they compensate more than enough on other turns."
,,5,Techfiend,22,44,66,1st,Yes (5.5),5th,26 (6),1st,0 (8.5),9th,2.538 (2),22,,22,2,0,3,7,0,6,0,16,Bishop,Domino,Bishop,Domino,First attempt,4,"This setup was enjoyable, especially with the cloning going on. I ran it twice, Both times with the same strategy. One side was Bishop and the Stepfords, while the other side was Domino and Blade. I used Starlord for shards. The undisputed MVP for me was Domino. Versatile is awesome, and her uncommon is insanely strong against Bribe, especially with Chivalrous Duel. Thanks to the Sinister Clones, I was able to clone Element Guns on the other side, which allowed me to generate enough shards to keep the city clear when there was no active twist. 

Kingpin's MS was super frustrating when it hit, and I could have won several turns earlier if not for it hitting. Even though I had Blade on one side, I never managed to have him in my hand when the MS hit. "
,,6,MicroDisney0505,54,39,93,1st,Yes (5.5),8th,31 (2.5),6th,2 (4.5),4th,3 (6.5),19,,15,16,2,2,3,1,1,0,9,Jean Grey,Siryn,Siryn,Jean Grey,Second attempt,4,"Really hard to find a groove on this one. Happy when Kingpin played Criminal Empire, it gave me a few extra villains to fight. (Mob war made an odd number of henchmen possible to be in the villain deck) I don't think my hero choices were the best but had fun just the same."
,,7,dontfeedthegreen,52,65,117,1st,Yes (5.5),10th,36 (1),8th,4 (2),2nd,3.25 (9),17.5,,13,38,1,1,3,0,1,0,6,Bishop,Jean Grey,Bishop,Jean Grey,Second attempt,2,"I made the mistake of chasing points with Jean Grey instead of just focusing on winning as quickly as possible. Both of my games were long slogs where combos stubbornly refused to come together. I went with the second attempt as it had the most VP. I had cloned Psychic Search early on and was raking in Bystanders throughout the game, but the power cards needed to really benefit from it didn’t show up until later. I’ll be surprised if I make it through this round."
,,8,bikk_bikk,22,55,77,1st,Yes (5.5),7th,30 (4),6th,2 (4.5),8th,2.567 (3),17,,33,4,1,3,3,3,2,0,12,Bishop,Iceman,Bishop,Iceman,Second attempt,3,"The early turns saw several villains appear and when the city got full finally my first henchman came in pushing two villains out. Being my second attempt I needed to forge onward to see if I could wrap the game up faster than my first game cause attempt one also saw two escapes from the scheme but took, what felt like at the time, a whopping 38 turns.
Luckily the iceman, bishop, cuckoos train got rolling on the right pretty effectively on this attempt. The cuckoos setup bishop to KO all the starting cards and iceman just launched with all the ranged I was drawing. 
Left side wanted desperately more artifacts in the HQ but alas they did not enter, the only artifact I managed was a single elemental guns. Attempt one ended with about 30 shards on the left side but due to chivalrous shenanigans they were useless and I had to wait an extra four turns to wipe out kingpin because of twists . In attempt two no such engine got going, so the left side didn’t do much in the submitted game.
But it was clear that attempt two was the better result despite having two escapes.
I’d also like to say this is a good example of iceman being a better suited hero for chivalrous duel scenarios than starlord. Both are excellent but in this niche setup Bobby took the cake. "
,,9,Wicked.pepper,46,32,78,1st,Yes (5.5),6th,28 (5),8th,4 (2),7th,2.786 (4),16.5,,14,2,1,1,4,0,0,0,6,Groot,M,Groot,M,Second attempt,3,A very average result..
,,10,AntDude,45,31,76,1st,Yes (5.5),8th,31 (2.5),8th,4 (2),10th,2.452 (1),11,,14,6,1,1,4,0,4,0,10,Bishop,Jean Grey,Bishop,Jean Grey,Second attempt,4,"To have Star-Lord but at half mast was rough. Cuckoos and Bishop did went and ramped up quickly with Clone and KO working right away. But had a lot of Chivalrous Duel turns where there could've been MM hits without it. Struggled to really find a good hero to pair with Blade in the setup, and limped in with Jean Grey. I don't think I really got the most out of her inclusion, but c'est la vie! Top moments of the game were pulling Concussive Blast from the Cuckoos investigate card a couple times when I already had the double range trigger."
,,,,Lower Bracket,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Stryfe Plays ""Guess Who?""",1,Loconnole & Klcgolf,33,47,80,1st,Yes (5.5),2nd,24 (9),1st,0 (6.5),1st,3.333 (10),31,,14,3,0,2,6,5,2,0,15,Iceman,Angel,Iceman,Angel,Second attempt,5,Professor X's rare card really got everything going and then the other hand had a sweet Invisble Woman KO deck. Really awesome game
