Pod,Setup,Rank,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Diff.,"By-
standers
rescued","Hero Choice 1
(Attempt 1)","Hero Choice 2
(Attempt 1)","Hero Choice 1
(Attempt 2)","Hero Choice 2
(Attempt 2)","Attempt
Used",Fun Level (no slash),Fun Level,Comments
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,
,,,,                                                            Upper Bracket,,,,,,,,,,,,,,,,,,,,,,
9,Mephisto Floods the Planet with Melted Glaciers,1,MicroDisney0505,36,29,65,1st,Yes (5.5),1st,21 (10),1st,0 (6),2nd,3.095 (9),30.5,,7,0,Black Cat,Daredevil (Marvel Knights),Black Cat,Daredevil (Marvel Knights),First attempt,5,5/5,This showed why Black Cat has some of the best cards in the game. With Daredevil revealing top cards I knew which player had the better top card.  Using black cat to get the 3 attack from colossus without gaining the wound was great. Each hero in the setup pulled their own weight. First game never even got a single wound thanks to Colossus and the MK heroes.
,,2,Sparky001,62,25,87,1st,Yes (5.5),3rd,25 (8),1st,0 (6),1st,3.48 (10),29.5,,37,9,Mr. Fantastic,Punisher,Mr. Fantastic,Punisher,First attempt,4,4/5,"Having had a rough time with the scheme in the past I thought about using hero’s that would interact with the villains deck to delay the twists but alas when they didn’t seem to gel I thought about trying to out pace the twists.
 Therefore went with a yellow and black deck of Moon Knight, Punisher and Mr Fantastic for the left with Green/Red on the right of Colossus and Wolverine, first game went well yet only saw Moon Knights rare near the end of the game which took longer then expected yet the twists were kind enough to stay away.
 Game two used the same settings but the twists came out quicker which made for a tense finish but ultimately another victory, whether or not it’s enough to keep in the top half time will tell."
,,3,Ceej,27,34,61,1st,Yes (5.5),2nd,22 (9),1st,0 (6),4th,2.773 (7),27.5,,7,2,Daredevil (Marvel Knights),Photon,Daredevil (Marvel Knights),Photon,First attempt,5,5/5,"I picked Photon to add some Blue heroes to the mix, preparing for Laser Maze and Living Laser, and also I thought Hyperspeed and forced-discard cards would at least make having Wounds less of an issue. I picked Daredevil because with Mephisto putting Wounds on top of the deck, there'd be a fair number of times I'd know what card was on top of my deck.

Game 1 was probably the most efficient Legendary game I've ever played; everything ticked right. There were plenty of times where I had a choice to ""reveal something or gain a Wound"" and I chose the Wound, either for Colossus's Invulnerability to turn it into card draw or for cranking up Daredevil's Radar Sense. Hit Mephisto the first time on like turn 8 and had it all wrapped up in 22 turns. Colossus and Daredevil make a fun combo, especially with Mephisto!

Game 2 didn't go nearly as well, and I'm mostly frustrated because I'm not sure why. Never got the good deck synergies, lots of turns with wasted Attack or Recruit power, etc. I did manage to gum up HQ with expensive rares so that Scheme Twists weren't that bad - I got to 6 Twists in that game and still only had like 10 or 11 KO'd Heroes, so I was in no danger of losing. But it took way longer than Game 1 and I had a Villain Escape, so clearly not the game to report.

MVP was Colossus, especially in Game 1. Daredevil worked well too but the combo was great. Photon was probably a mistake, although having some Blue Heroes saved a few wounds and Ultraviolet Radiation did help hit Mephisto once or twice."
,,4,Mr. Omnishambles,42,39,81,1st,Yes (5.5),5th,29 (5),1st,0 (6),3rd,2.793 (8),24.5,,3,3,Forge,Nightcrawler,Forge,Daredevil (Marvel Knights),First attempt,3,3/5,"So the next Mastermind dealing with wounds again. Both attempts took exactly 29 turns, but the first attempt had more VP. Some turns were wasted and I couldn't do anything. Too bad I couldn't use Sidekicks here!"
,,5,Lamertien,58,20,78,1st,Yes (5.5),5th,29 (5),1st,0 (6),5th,2.69 (6),22.5,,38,2,Iron Fist,Daredevil (Marvel Knights),Daredevil (Marvel Knights),Punisher,First attempt,3,3/5,"This was the next Mastermind dealing with wounds. Had a rough start with several strikes and therefore many wounds. But once I had built up my decks, the game went pretty smooth. I aborted my second attempt when I had an early stupid escape. Too bad I couldn't use Sidekicks here!"
,,6,Astigmatic_Oracle,53,22,75,1st,Yes (5.5),5th,29 (5),1st,0 (6),8th,2.586 (3),19.5,,31,3,Punisher,Forge,Punisher,Forge,First attempt,3,3/5,"I was really hoping to go faster, but the wounds were kinda a pain."
,,7,Mangostrike,40,40,80,1st,Yes (5.5),8th,30 (2),1st,0 (6),6th,2.667 (5),18.5,,0,3,Domino,Forge,Domino,Forge,Second attempt,4,4/5,Fastball special on the left and Versatile tech on the right. Needed more KO cards in my tech deck though. Probably could have saved Domino and Forge for later in the tournament but got wrapped up in an X-Force team.
,,8,ClobberinTime & megablueJJ67,36,42,78,1st,Yes (5.5),8th,30 (2),1st,0 (6),7th,2.6 (4),17.5,,6,2,Elektra,Iron Fist,Elektra,Iron Fist,Second attempt,3,3/5,"We enjoyed having one of the most helpful henchmen villains, Mandarin’s Rings!"
