Pod,Setup,Rank,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments
,,,,,,,,,,,,,,,,,,,Strikes,Twists,Villains,Henchmen,Bystanders,Other,Total,1,2,1,2,,,
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,
,,,,Upper Bracket,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Apocalypse Clowns Around,1,Jean-Sebastien & Genevieve,83,15,98,1st,Yes (2.5),1st,23 (4),1st,0 (2.5),2nd,4.261 (3),12,,68,4,3,4,5,6,0,0,18,Bishop,Iceman,Bishop,Iceman,First attempt,4,"Tournament is ending, so it's time for the big guns! Iceman and Bishop are obviously doing the heavy lifting, but I got good use of Doctor Strange Wand of Watoomb as well. The race against the living dead is always though, and my other attempt was a disaster, so let's hope it is enough for a win."
,,2,Redblock,72,73,145,1st,Yes (2.5),3rd,31 (2),1st,0 (2.5),1st,4.677 (4),11,,1,33,2,2,3,3,0,0,10,Viv Vision,"Ancient One, The","Ancient One, The",Viv Vision,Second attempt,5,"I knew fightin four horsemen is loosing proposition, so took ancient one to at least send one of them to astral realm, And his uncomon did real heavy lifting with so many masterminds. Both Viv Vision and Mis Marvel are Bystander rescue powerhouses, so had something to cover those zombies. And still game was hell, Had Zombie Thanos ascending to become extra mastemind, sent around 8 bystanders to cheering crows to keep afloat. One of best Legendary games I ever had."
,,3,Sneke#1302,46,36,82,1st,Yes (2.5),2nd,25 (3),1st,0 (2.5),3rd,3.28 (2),10,,10,12,1,2,7,6,1,0,17,Doctor Voodoo,Blade,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,"Voodoo loooked fun and had synergy with Strange as well as size changing for his uncommon, Blade is just a solid pick that gave colours to discount marvel and play around nasty escapes with movement. Early horsemen/master strikes/schemes meant the city wasn't nasty until the very end once all the rise of living dead cards came out all at once."
,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,ChuckBauer,79,16,95,1st,Yes (2.5),4th,34 (1),1st,0 (2.5),4th,2.794 (1),7,,63,3,0,3,5,1,0,0,9,Doctor Voodoo,"Ancient One, The",Doctor Voodoo,"Ancient One, The",Second attempt,4,"Doctor Strange, Doctor Voodoo and Superior Iron Man kicked Apocalypse's rear end. Meanwhile, the Ancient One could never really get the ball rolling. I think Ms Marvel was taking a nap, cause only 1 of her cards even bothered to show up."
,,,,Eliminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E15,HYDRA Brings the House Down,1,Astigmatic_Oracle,47,32,79,1st,Yes (2.5),2nd,29 (3),1st,0 (3.5),1st,2.724 (4),13,,15,3,1,9,8,4,0,0,22,Hellcat,Mockingbird,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"Barely any Twists coming up made this game a breeze. Mockingbird was the MVP again. Ramping with SHIELD level in a HYDRA villain deck is a recipe for success. I think this might be the first game where I had Melina May and The Sword of SHIELD pop up together and it really shows how weak The Sword of SHIELD is. Such a pain even in a mostly SHIELD game to get the card draw and then the payoff is only +1 attack from Radiant Blast, which can't count as 1 of the 4 SHIELD triggers since you have to play it after The Sword of SHIELD to get the bonus!"
,,2,Mangostrike,36,32,68,1st,Yes (2.5),1st,27 (4),3rd,1 (2),2nd,2.519 (3),11.5,,4,2,3,6,11,4,0,0,24,Mockingbird,Rick Jones,Mockingbird,Rick Jones,Second attempt,5,"I really like the shield/hydra mechanic when it works. First game was heavy with Miek, Smash and KO. Second game was both hands sending undercover. I got a little hung up on the MM tactic needing to defeat villains as hydra henchmen don’t count towards that and that seemed to be most of my VP."
,,3,WingedCrusader,36,48,84,1st,Yes (2.5),3rd,35 (2),1st,0 (3.5),3rd,2.4 (2),10,,12,3,0,2,6,2,1,0,11,Gladiator Hulk,Ronin,Gladiator Hulk,Ronin,Second attempt,4,"ronin uncommon came up and clogged the hq :( but ronin was super useful with his commons and we got one side with a good shield deck quake and captain marvel stuff, the other side was smashing power etc with miek and gladiator hulk.  Pretty fun, but some of the hydra level stuff is frustrating and there were SO MANY WOUNDS."
,,4,Adrian Miller,46,18,64,1st,Yes (2.5),4th,39 (1),4th,2 (1),4th,1.641 (1),5.5,,28,2,1,3,4,1,0,0,9,Photon,Agent Phil Coulson,I did not play a second attempt.,I did not play a second attempt.,First attempt,1,I know I didn't do well at all
,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,HatePhD & editedmist,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E16,Thanos Catches Some Waves,1,jgoodnough,57,18,75,1st,Yes (4),1st,29 (5),1st,1 (4.5),2nd,2.586 (4),17.5,,39,0,4,1,5,2,2,0,14,Thing,Human Torch,Thing,Human Torch,First attempt,4,scenario was lots of fun.
,,2,dontfeedthegreen,40,44,84,1st,Yes (4),2nd,32 (4),3rd,2 (3),1st,2.625 (5),16,,4,1,3,2,3,1,1,0,10,Heralds of Galactus,Iron Man Noir,Heralds of Galactus,Fantastic Four United,First attempt,4,"Good set up. Who better to take on Thanos than Galactus?!? I think FFU & the Heralds were a better team, but the HQ and Villain deck were kinder to me in the game with Iron Man Noir. He does work well with Spidey and Brainstorm and I was able to thin my deck nicely by Learning from my Enemies. In the second game the HQ just refused to yield key cards and it took longer with more escapes."
,,3,Gideon Wyatt & Wife,55,29,84,1st,Yes (4),3rd,35 (3),4th,3 (2),3rd,2.4 (3),12,,26,4,0,3,3,1,1,0,8,Iron Man Noir,Daredevil Noir,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,Brainstorm and Mr. Fantastic were awesome.
,,4,Montax30,52,31,83,4th,No (1.5),4th,35 (2),1st,1 (4.5),4th,2.371 (2),10,,21,6,3,0,3,1,0,0,7,Human Torch,Invisible Woman,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,Fantastic Four is strong
,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,Izalot,30,16,46,4th,No (1.5),5th,33 (1),5th,4 (1),5th,1.394 (1),4.5,,14,1,1,0,6,2,0,0,9,Fantastic Four United,Heralds of Galactus,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,The so close I want to play it again scheme...just not for a while!
E17,Tyrantworld: High Stakes Arcade Game,1,GZUZROCKS & DaBomb,57,43,100,1st,Yes (1),1st,38 (1),1st,0 (1),1st,2.632 (1),4,,14,19,0,0,8,1,0,0,9,Jubilee,Havok,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,Super fun epic fight! Punisher’s “hail of bullets” was often a legendary attack card whenever we drew one of the mastermind tactics. We also added in havoc and jubilee to create a MAJOR lightshow with Dazzler! Really fun set up!
,,2,Bikk_Bikk,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,Bikk_Bikk,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,Mikeygill97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
