Pod,Setup,Rank,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments
,,,,,,,,,,,,,,,,,,,Strikes,Twists,Villains,Henchmen,Bystanders,Other,Total,1,2,1,2,,,
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,
1,Galactus Goes for a Swim,1,MicroDisney0505,79,28,107,1st,Yes (7),2nd,19 (8.5),1st,0 (9.5),1st,5.632 (10),35,,51,26,3,5,6,5,2,0,21,Black Widow,Emma Frost,Emma Frost,Black Widow,First attempt,5,"Sadly the only Invisible Woman card I saw was the rare (which I did recruit). Black Widow and Emma Frost were great heroes for this setup. (They are typically great in these tournaments,  but this setup had them thrive.)"
,,2,BradyVBBB#6846,51,27,78,1st,Yes (7),4th,20 (7),1st,0 (9.5),2nd,3.9 (9),32.5,,24,5,3,5,8,5,0,0,21,Hawkeye,Storm,Hawkeye,Storm,Second attempt,4,It was a ton of fun. Being able to focus on a single hero class made quick work of Galactus but if you did not do that it would have been a very different game.
,,3,croy_boy,54,15,69,1st,Yes (7),2nd,19 (8.5),3rd,1 (7),4th,3.632 (7),29.5,,39,7,2,6,9,4,0,0,21,Storm,Mr. Fantastic,Mr. Fantastic,Storm,First attempt,4,"First off, I didn't realize that I needed to record what was left in the violation deck. I did the best that I could to recreate it, but it's probably a little off. 

First game went really well. Got 2 copies of Unstable Molecules and 2 copies of One Gigantic Hand and was hitting Galactus once (or twice) pretty much every turn after that. Only had one villain escape, a monster burrowed right before Galactus ate the Streets. I don't think there's anyone who pairs with Mr Fantastic besides Iron Man (which kinda fits)"
,,4,AdamantiumGambit,60,28,88,1st,Yes (7),5th,24 (6),3rd,1 (7),3rd,3.667 (8),28,,32,19,4,3,8,2,0,0,17,Storm,Mr. Fantastic,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"I'm pretty sure I counted the turns correctly, but I apologize if I messed up. I was using a D20"
,,5,Freeclint,37,6,43,1st,Yes (7),1st,15 (10),6th,2 (4.5),6th,2.867 (5),26.5,,31,0,3,4,13,5,2,0,27,Mr. Fantastic,Storm,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"Had a bagel shuffle start master strike.  Mr F and Iron man rocked hand one, with Iron Man's ult early on.  Was drawing his whole deck on most hands with a tech core and took out the big G fast.  Totally fun setup.  Didn't bother with a second attempt."
,,6,meimbatman,42,39,81,1st,Yes (7),7th,28 (4),3rd,1 (7),5th,2.893 (6),24,,3,8,4,1,5,3,0,0,13,Silver Surfer,Thor (Avengers),Silver Surfer,Thor (Avengers),Second attempt,4,"I won both games but was able to win 1 turn quicker on the second game with the hands closer together in VP so I went with that one.  First game I had 4 master strikes by turn 16, second game only 1 master strike so as a result, only 1 villain escaped. Plus while I had 6 scheme twists come out, only the last 2 really KO'd any heroes so I wasn't that tense about losing to scheme twists. 

This was fun though, I first saw Galactus and prior to this had never beaten him so I thought I was going to lose but when I found out card draw is the way to go, I was able to leverage that into wins."
,,7,TheMelkMan & Snapcity57,49,20,69,1st,Yes (7),6th,25 (5),8th,5 (3),7th,2.76 (4),19,,29,8,1,3,7,3,2,0,16,Nick Fury,Mr. Fantastic,Mr. Fantastic,Nick Fury,First attempt,4,Galactus got melked
,,8,jgoodnough,35,27,62,8th,No (2),9th,29 (2),6th,2 (4.5),9th,2.138 (2),10.5,,8,5,0,3,4,2,1,0,10,Hawkeye,Hulk,Hulk,Mr. Fantastic,First attempt,3,Fun game.  2 good hits on Galactus which really upset him and he followed up with a nice run of Master Strikes flooding the city.
,,9,M00M00KITTY & marnsupial,7,53,60,8th,No (2),8th,35 (3),9th,6 (2),10th,1.714 (1),8,,46,7,0,1,3,0,0,0,4,Deadpool (Unaffiliated),Rogue,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,I liked how because there are two losing conditions with heroes KO'd and Galactus destroying the city so it was like playing with the walls slowly closing in on both sides. It made it exciting! Especially when by turn 7 three master strikes had already happened....and we still almost prevailed!
,,10,WingedCrusader,26,32,58,8th,No (2),10th,27 (1),10th,7 (1),8th,2.148 (3),7,,6,13,0,6,3,4,0,0,13,Rogue,Thing,Emma Frost,Storm,Second attempt,2,help
,,11,kishiru krew,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Mr. Sinister Sings Karaoke,1,yeeches,48,41,89,1st,Yes (6),1st,23 (11),1st,0 (9.5),1st,3.87 (11),37.5,,7,23,3,5,6,2,2,8,26,Jean Grey,Proxima Midnight,Jean Grey,Shatterstar,Second attempt,5,"Very fun set up, a bit easy with Jean Grey + Bishop and Shatterstar + Warpath + Logan, Strange was helpful too. I had almost every rare but some extra recruit slowed me down at the end! Love Dark City with Messiah Complex!"
,,2,dontfeedthegreen,65,13,78,1st,Yes (6),3rd,25 (8),1st,0 (9.5),3rd,3.12 (9),32.5,,52,13,4,5,7,2,2,3,23,Black Panther,Invisible Woman,Black Panther,Invisible Woman,Second attempt,4,"First attempt was slightly quicker with same VP total but had a lot of escapes. I went with 2nd attempt because it had zero escapes. I was KOing like crazy, so much that I had to be careful not to KO all my recruit too soon! Regarding Villain deck tally, Mr Sinister took a Bystander and I had 1 Fight the Future."
,,3,bikk_bikk,51,21,72,1st,Yes (6),3rd,25 (8),1st,0 (9.5),6th,2.88 (6),29.5,,30,12,3,3,7,4,2,3,22,Elektra,Jean Grey,Elektra,Jean Grey,First attempt,4,Didn’t expect to pair warpath and Jean so well. But it was a pleasant surprise.
,,4,Babybreloom,60,19,79,1st,Yes (6),6th,26 (5.5),1st,0 (9.5),4th,3.038 (7.5),28.5,,41,14,4,6,7,0,4,6,27,Superior Iron Man,Daredevil (Marvel Knights),Superior Iron Man,Daredevil (Marvel Knights),Second attempt,5,"Superior Iron Man and Daredevil absolutely rocked socks in this setup. Paired with Warpath's investigation and screening, there was so much synergy for what they did and we ended up really successful!"
,,5,Aaron4DotOh,23,44,67,1st,Yes (6),3rd,25 (8),5th,1 (6),8th,2.68 (4),24,,21,9,4,3,7,0,1,6,21,Iceman,Wolverine (X-Force),I did not play a second attempt.,I did not play a second attempt.,First attempt,5,"Lots of fun with this one. P2 was able to create a big card draw engine between Bishop and X-Force Wolvie, whom seemed perfect for this pod. That took care of Mr. Sinister pretty quickly."
,,6,Mangostrike,18,38,56,1st,Yes (6),2nd,24 (10),5th,1 (6),10th,2.333 (2),24,,20,7,3,3,6,4,1,6,23,Wolverine (X-Force),Colossus,Colossus,Wolverine (X-Force),First attempt,4,Both games had a stream of Dr. strange heroes in the villain deck before I got any momentum going. In my 2nd game I had 8 heroes KO’d by the 14th turn. This moved much faster than I expected.
,,7,Justitiana,77,25,102,1st,Yes (6),8th,27 (4),8th,2 (3.5),2nd,3.778 (10),23.5,,52,44,0,3,8,0,3,7,21,Iceman,Jean Grey,Iceman,Jean Grey,First attempt,4,"My first attempt was pretty amazing, especially turn 27. I managed to buy the rare of Jean Grey from HQ, draw my entire deck by rescueing bystanders (from Jean Grey's 3-cost) and drawing 2 and later even 3 cards with Jean Grey's 6-cost (her last one was also in the deck/discard pile). My entire deck was full of X-men, so I ended up being able to rescue 25 bystanders, but the stack only held 21 at that moment (the pile was already slightly smaller from earlier rescues and ambush effects). Sinister's sinister plans couldn't defeat the Jean Grey, Bishop, Iceman powerhouse. I didn't even count the attack from that last turn precisely, as it was clear I had much more than I needed (and the exact counting was tedious - 3 of iceman's 4-costs with around 18 [Ranged] cards before the first). One of the earlier turns had a similar wombo combo, but slightly more focused at recruit with Iceman's 2-costs. Which was very useful. I feel like I made a good choice with Jean Grey because there were many bystanders from the setup (Master Striker/Mastermind Tactics/Villains/Hecnhmen). Iceman also really shone. If you want to know. my second attempt wasn't as good as the first (which would be hard, because it probably had to also empty or almost empty the Bystander stack), but needed only 1 more turn. So I submitted my first.

I like getting high scores for my BG Stats app, but it's usually pretty dependent on setups that create huge VP Masterminds & Villain Decks, which wasn't the case here as much. 77 is a pretty great score for 1 hand/deck, but it's not my best ever. It was my first time (or at least since I can remember) that I managed to empty the Bystander Stack, so that's a cool first (although normally the stack is much bigger, so it wouldn't be as easy). Scheme felt pretty shuffle-based, but the shuffle was fine I think, with 2 escpaes early on (Clone from henchmen pushed 2 earlier clones out of the city), which also K.O. 2 non grey heroes, I managed to damage control to 4 K.O.'s from twists.

Deckbuilding for both decks was pretty good from the get go. I made use of Clone for both to get certain cheap cards mulitple times quickly. K.O.-ing went great, Hand 1 lost 11 starter cards before turn 27 and then its last in turn 27 (which didn't matter), Hand 2 did almost as good, but didn't build quite as many cards, but was pretty consistent and strong enough to fight things. Deck 1 was mostly Ranged/Covert with lots of Jean Grey, Iceman and Bishop. Deck 2 had Bishops rare pretty early on and managed to clone Old Man Logan's 3-cost twice and Warpath's Instinct 2-cost once. Deck 2 was pretty much an instinct fest with Warpath and Old Man Logan. Both decks could build pretty well without needing the same cards and Clone was a great aid there.

It was a pretty fun setup, never feeling too tense because losing could happen any turn, or like being way overpowered. As usal, building for very synergistic decks makes for some super strong turns which then close out the game really quick. If you'd rewind a few turns, you wouldn't guess it was almost won, but once you catch some drift those strong turns can even be back to back."
,,8,Snatchcat,36,43,79,1st,Yes (6),6th,26 (5.5),8th,2 (3.5),4th,3.038 (7.5),22.5,,7,17,3,3,5,0,2,8,21,Jean Grey,Stepford Cuckoos,Nightcrawler,Siryn,Second attempt,4,"Think I did ok on this one, but those 2 Villain escapes may hurt my score. Warpath can get pretty fun when you have 10 card hands to start each turn (which also bypasses Mr. Sinister's Master Strikes) =)"
,,9,KensieBensie,40,39,79,1st,Yes (6),9th,31 (2.5),5th,1 (6),9th,2.548 (3),17.5,,1,17,2,2,5,3,0,4,16,Cable,Siryn,Cable,Siryn,First attempt,3,Fun!
,,10,Mikeygill97,40,47,87,1st,Yes (6),11th,32 (1),10th,3 (2),7th,2.719 (5),14,,7,27,3,2,5,0,3,6,19,Jean Grey,Magik,Jean Grey,Magik,First attempt,4,I can always count on a red head to help me out.
