Pod,Setup,Rank,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments
,,11,Izalot,58,10,68,1st,Yes (6),9th,31 (2.5),11th,7 (1),11th,2.194 (1),10.5,,48,14,1,3,5,0,1,3,13,Iceman,Magik,Iceman,Magik,Second attempt,4,"I forgot to count my remaining cards in the first attempt and know that I did better. Ahhh, so frustrating! But, did enjoy this setup with awesome combos with Bishop, Magik and Iceman. The set up for the villains quickly escalated with the Mr. Sinister clones and all of my KO heroes were a result of the escaped villains. Ended up with 8 KO'd heroes (9 to lose) on both attempts. Hopefully, I qualify for round 2!"
3,Ultron Wants Hot Pockets,1,Jean-Sebastien & Genevieve,22,68,90,1st,Yes (6),1st,23 (10.5),1st,0 (8),1st,3.913 (11),35.5,,46,2,0,6,5,8,0,0,19,Ant-Man,Punisher,Ant-Man,Punisher,Second attempt,4,"Giant Ego (Ant-man) worked very well with Jocasta ant Ant-Man, and Hail of Bullets defeated for free a lot of Villains. First hand mostly just cleaned up the HQ and did some damage with Star-Lord and its shards."
,,2,SharkNate-O & onthegeniusofsamrockwell,46,25,71,1st,Yes (6),1st,23 (10.5),1st,0 (8),4th,3.087 (8),32.5,,21,2,2,4,12,3,2,0,23,Forge,Elektra,Forge,Elektra,First attempt,4,A lot of interplay with each of the different classes. Our first Bageltop Legendary tournament. We enjoyed the process of being able to choose two heroes in a way that we can maximize this particular setup. We look forward to the upcoming set-ups and weeks!
,,3,Redblock,41,35,76,1st,Yes (6),3rd,24 (8),1st,0 (8),3rd,3.167 (9),31,,6,0,4,3,11,3,2,0,23,Forge,Ant-Man,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"Went tech all the way, setup was easy, so might be bit slow on turn"
,,4,Jinjoz,32,40,72,1st,Yes (6),3rd,24 (8),1st,0 (8),5th,3 (6.5),28.5,,8,1,2,4,11,3,1,0,21,Ant-Man,Elektra,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,"Game went very well. Was able to solidify each deck into its own archetype. One was all tech cards, with plenty of Empower by Tech Cards. Other one was Soider-Man and Elektra. Star-Lord did a great job supporting both sides. Overall just solid gameplay"
,,5,AntDude,30,42,72,1st,Yes (6),3rd,24 (8),1st,0 (8),5th,3 (6.5),28.5,,12,5,2,6,12,3,0,0,23,Forge,Iceman,Forge,Iceman,First attempt,4,"Went for Forge and Iceman early, have no regrets. One range deck and one tech deck, with Symbiote Spider-Man as Ultron Threat Analysis fodder. Goon KOs and Frost Spike Armor/B.F.G. worked for early MM hits."
,,6,Silverfox & BLUsHINgETHeR,59,34,93,1st,Yes (6),7th,27 (5),8th,1 (3),2nd,3.444 (10),24,,25,2,3,8,6,3,0,0,20,Ant-Man,Drax the Destroyer,Elektra,Drax the Destroyer,Second attempt,4,"Superior Spiderman and Elecktra were the mvps this attempt, yet the hq messed us up in the beginning but the spiderman deck was able to carry us through the early turns while the Gaurdians artifact deck was getting set up for a powerfull late game"
,,7,zorotok,33,49,82,1st,Yes (6),8th,28 (3.5),1st,0 (8),7th,2.929 (5),22.5,,16,1,1,8,10,1,1,0,21,Forge,Ant-Man,Ant-Man,Forge,Second attempt,5,Spider-man did not work with these heroes.
,,8,Avataristche,29,41,70,1st,Yes (6),6th,25 (6),1st,0 (8),10th,2.8 (2),22,,12,1,1,7,12,2,1,0,23,Elektra,Ant-Man,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"Jocasta's 4 recruit gave me Elektra's rare, which gave me Jocasta's and AM's rares, it kinda flew off from there. Got a tad unfortunate with the tactics order, it would be 19 turns otherwise."
,,9,foreverateam,33,58,91,1st,Yes (6),11th,32 (1),8th,1 (3),8th,2.844 (4),14,,25,3,2,8,7,2,0,0,19,Domino,Forge,Domino,Forge,Second attempt,5,My son and I love playing in your tournaments and I am disappointed I haven't actually entered since last Fall/Winter. Thank you for doing this! The setup was fun and engaging. We chose Domino and Forge to try and ensure we always had a Tech hero in hand to negate Ultron's Master Strike. Thank you again!
,,10,Montax30,31,48,79,1st,Yes (6),8th,28 (3.5),11th,2 (1),9th,2.821 (3),13.5,,17,1,3,8,6,3,2,0,22,Drax the Destroyer,Scarlet Spider,Elektra,Forge,Second attempt,4,I'm furious that I didn't use my 2nd attempt Heroes during my 1st attempt
,,11,Doormatte,50,31,81,1st,Yes (6),10th,31 (2),8th,1 (3),11th,2.613 (1),12,,19,2,2,4,7,3,0,0,16,Wasp,Groot,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,So much fun!!! Glad I got it in on time! Shards really helped me
4,Magus Gets an Infection,1,ThatOneFemboy,25,61,86,1st,Yes (6),1st,27 (10),1st,0 (10),1st,3.185 (10),36,,36,6,3,6,4,3,1,0,17,Captain Mar-Vell,Moondragon,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,Doing danger sense and shards won the game for me being able to manipulate things downwards saved me
,,2,Techfiend,40,29,69,1st,Yes (6),2nd,28 (9),2nd,2 (7),3rd,2.464 (8),30,,11,5,2,6,5,5,0,0,18,Nova (Avengers),Superior Iron Man,Nova (Avengers),Superior Iron Man,First attempt,4,"I used the same strategy on both attempts. 1st hand went hard on a tech draw strategy with Iron man, Nova, and Totally Awesome Hulk. MVP card was Nova's ""Declare Galactic Threat"", since with a ton of tech cards, it allowed me to keep the city clear. It was also easy to acquire when it was put in the city by a scheme twist. The 2nd hand used a covert/ranged build with Black Cat, Nova, and Iron Man. It was not as effective, but had tons of recruit, which made it easy to refresh the HQ.

2nd attempt also won, but took longer to get going, so had more escapes and took longer. Overall a fun setup. "
,,3,Off the Cuff,46,35,81,1st,Yes (6),4th,32 (7),2nd,2 (7),2nd,2.531 (9),29,,11,6,1,5,5,1,1,0,13,Scarlet Spider,Superior Iron Man,Scarlet Spider,Superior Iron Man,Second attempt,4,"I was able to use the extra turn I got from Kosmos to clear the City, then gain the Tactic that takes Shards from Villains in the City. Awesome interaction, you should try it"
,,4,Brentcampbell9790,51,35,86,1st,Yes (6),7th,35 (3.5),2nd,2 (7),4th,2.457 (7),23.5,,16,11,2,2,3,2,1,0,10,Captain Marvel,Nova (Avengers),Captain Marvel,Nova (Avengers),First attempt,4,I figured Captain Marvel and Nova would pair well with AKP and Cho-Hulk and they did pretty well. Went with Tech/Covert on one side and Ranged/Strength on the other. I wasn't able to thin my decks very much so they felt very bloated but nonetheless was able to pull off a win. Magus and the Scheme Twists kept the city full near constantly. I wish I had brought someone to help clear shards from villains more effectively.
,,5,Cobrawarrior521 & Cobrev,14,37,51,1st,Yes (6),3rd,29 (8),2nd,2 (7),9th,1.759 (2),23,,23,4,1,6,5,4,0,0,16,Captain Marvel,Nova (Avengers),Captain Marvel,Nova (Avengers),Second attempt,4,It was a great set up for the first round!
,,6,captaincardone & paisley5002,50,21,71,1st,Yes (6),6th,34 (5),2nd,2 (7),7th,2.088 (4),22,,29,4,3,2,3,2,0,0,10,Adam Warlock,Ms. Marvel,Adam Warlock,Captain Marvel,Second attempt,3,"This felt tough. We won both games, but picking heroes never had me saying ""this is clearly the answer"" like I have in previous setups. It made choosing heroes difficult, but also Adam Warlock's Rare couldn't hurt us so we went with that."
,,7,Gideon Wyatt & Wife,48,22,70,1st,Yes (6),5th,33 (6),7th,3 (3.5),5th,2.121 (6),21.5,,26,5,2,4,4,1,0,0,11,Nova (Avengers),Captain Mar-Vell,Nova (Avengers),Captain Mar-Vell,Second attempt,5,"Game changing moment when The Shaper of Worlds created a pocket dimension for Captain Mar-vell's rare saving it from the Scheme Twist. Once I got that into my deck, I used its danger sense to control the villain deck. I honestly wasn't spending shards enough. Final blow got blocked for 2 turns by Magus requiring stars to fight for the last tactic."
,,8,Astigmatic_Oracle,45,31,76,1st,Yes (6),9th,36 (2),7th,3 (3.5),6th,2.111 (5),16.5,,14,5,2,4,3,0,0,0,9,Black Panther,Superior Iron Man,Nova (Avengers),Quasar,Second attempt,2,"The city was relentless, so to avoid escapes I prioritized accumulating attack. Kitty Pryde's Phase Out was the MVP of both games."
,,9,alextuesday,37,22,59,1st,Yes (6),7th,35 (3.5),10th,7 (1),10th,1.686 (1),11.5,,15,4,1,1,4,2,1,0,9,Adam Warlock,Phyla-Vell,Phyla-Vell,Captain Mar-Vell,First attempt,4,"1st time playing, need to track all results better next round. Enjoyed the set-up."
,,10,ggyppt,55,27,82,10th,No (1),10th,44 (1),9th,4 (2),8th,1.864 (3),7,,28,5,0,0,0,0,0,0,0,Nebula,"Namor, the Sub-Mariner",Nebula,Proxima Midnight,Second attempt,4,I was 1 fight short of winning. I am very frustrated by this loss.
,,11,bstev129,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,The Sentry Needs New Batteries,1,GamerGump & Kendycrow,34,51,85,1st,Yes (5.5),3rd,31 (7),1st,0 (8),1st,2.742 (9),29.5,,17,3,2,2,2,1,1,0,8,Human Torch,Namora,Human Torch,Namora,Second attempt,4,Fun Setup.
,,2,NukinFoobs & N3m3sis,40,22,62,1st,Yes (5.5),1st,25 (9),4th,1 (4.5),2nd,2.48 (8),27,,18,2,2,5,4,1,0,0,12,Colossus,Human Torch,Colossus,Human Torch,First attempt,4,Game one went great other than one escape at the beginning caused by the trap. We were very fortunate to avoid most of the scheme twists. Ended up building one deck based on strength wounds and the other on ranged wounds which worked out well.
,,3,OllieKitKat,47,33,80,1st,Yes (5.5),4th,33 (6),1st,0 (8),3rd,2.424 (7),26.5,,14,7,0,1,4,1,0,0,6,Bishop,Invisible Woman,Colossus,Human Torch,Second attempt,3,"Game 1 = Absurd. I think every feast hit a non-grey hero. Heckin' Rood. 
Game 2 = Not nearly enough Iceman, but at least the Villain Deck played more in my favor. "
,,4,cubbiesnextyr/sjoschko,26,39,65,1st,Yes (5.5),2nd,29 (8),4th,1 (4.5),4th,2.241 (6),24,,13,4,1,2,5,3,0,0,11,Jean Grey,Human Torch,Human Torch,Blade,Second attempt,4,"The first attempt using Jean Grey and Human Torch and it was a disaster, couldn't even generate any high attack hands.  Switched Jean Grey out with Blade and we had much better results.  Good attacks when needed.  the MM and villains feasting helped weed out my starters, so that was nice.  I enjoyed the setup."
,,5,Mwade93,28,57,85,1st,Yes (5.5),8th,40 (2),1st,0 (8),6th,2.125 (4),19.5,,29,3,0,0,0,0,0,0,0,She-Hulk,Human Torch,She-Hulk,Human Torch,First attempt,4,Won on the last turn.  It was an interesting and fun challenge.
,,6,Handballermann & Efruhuhn,49,33,82,1st,Yes (5.5),6th,37 (3.5),4th,1 (4.5),5th,2.216 (5),18.5,,16,4,1,1,0,0,0,0,2,"Miek, the Unhived",Korg,I did not play a second attempt.,I did not play a second attempt.,First attempt,2,"""It was what it was"".
We chose our heroes by the chance to convert our wounds into active gameplay (smash, KO wounds, etc.). The high amount of Feast (given enemies + Miek) led to high rng in KOing our own decks. In the between we were focussing to much on buying the right cards, to transform our heroes early, which staled our damage output due to bad hero draw rng.
The mastermind was cool-ish. The four horseman sucked (destroy your deck, destroy your deck even more). The scheme was easy to overcome, just costed us a few rounds, where we only bought shards from the mastermind instead of new heroes (which were decimated from too many Feasts). The first 4 twists came within the first 10 rounds, after that we had to manage a lot of enemies, while we didn't fight many of the four hoursemen (due to their bad effects).
It was our first time with transforming mastermind and transforming heroes.
We are unsatisfied with our result, but playing another round is even worse."
,,7,ItStartsWith1,62,12,74,1st,Yes (5.5),6th,37 (3.5),4th,1 (4.5),7th,2 (3),16.5,,50,4,1,1,1,0,0,0,3,Bishop,Namora,Bishop,Namora,Second attempt,3,"This was tough, but decently fun. First game started rough, had a bunch of escapes early, and couldn’t quite recover from all those wounds. Had much better luck the second game, and was able to assemble a great ranged deck with Iceman and Namora (even pulled off Bishop’s double super power on the last turn). Right hand wasn’t anything special, as made apparent by VP differential."
,,8,madnick7563,40,27,67,1st,Yes (5.5),5th,36 (5),8th,4 (2),8th,1.861 (2),14.5,,13,3,0,1,2,1,0,0,4,Silver Surfer,"Skaar, Son of Hulk",I did not play a second attempt.,I did not play a second attempt.,First attempt,3,"You sneaky boys, I didn't look at what I was getting into until I was about to shuffle it all together and I saw just how many heroes were going to be KOd through FEAST and Four Horseman effects. I went with Skaar because I figured his wounded fury cards would benefit from all the wounds we would be getting. Turns out after 36 turns of the game, I only ever got to use Wounded Fury on the very last turn to end the game. Every other time, I'd never draw the necessary cards to trigger the ability.

I went with Silver Surfer for the other hero on a whim. I didn't put much thought into it other than ""Focus is nice"", but in the end, it dominated. And it also circumvented the Four Hoursmen fight effects with that one card that lets you defeat villains of 5 or 6 power for free. 

In the end, I got lucky on a lot of early recruits and some luck with making over 20 recruit through the Silver Surfer rare and buying all of the Mastermind's shards in a single turn. In addition, the mastermind's wounded fury never once impacted me because every time I had enough power to fight him, I didn't have a discard pile at the time. It was a long game, and I only had 4 cards remaining in the villain deck, and luck carried me through. I feel like if I had enough time to try a second go, it wouldn't work out as well."
,,9,Captaintoad,5,1,6,9th,No (1),9th,22 (1),9th,7 (1),9th,0.273 (1),4,,4,0,3,3,5,4,0,0,15,Invisible Woman,Star-Lord,Korg,"Miek, the Unhived",Second attempt,1,"First attempt I didn't read the scheme win condition and invalidated my game by playing many turns past the ten shards on the mastermind. Also selected a hero that added shards to the game not realizing it put me on a faster clock. Also opened six henchman in a row and couldn't hit any of them cuz I never got  a 3 fight hand, kept drawing a wound and 2 fight, etc. Second game I encountered the same problem with not being able to hit a henchman but also opened double rare in the HQ after the opening mulligan so just had a dead HQ all game. Easily the worst least satisfying two games of legendary I've ever played lol"
,,10,pspblink,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,11,MrTInce,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,"Klaw Says ""It's Time to D-D-D-Duel!""",1,Guardian06,48,30,78,1st,Yes (5.5),1st,26 (10),1st,0 (7.5),2nd,3 (8.5),31.5,,18,14,3,3,5,4,1,0,16,"Ancient One, The",Brainstorm,"Ancient One, The",Brainstorm,First attempt,3,"I thought I'd hate this setup, but thank goodness for The Ancient One!"
,,2,Wicked.pepper,57,47,104,1st,Yes (5.5),3rd,29 (6.5),1st,0 (7.5),1st,3.586 (10),29.5,,10,17,4,2,3,3,1,0,13,Brainstorm,Clea,Brainstorm,Clea,Second attempt,4,"Good way to start up again! First playthrough only had 3 turns left, was not very good at all. Second one went way better. Strikes didn't seem to come, although I was one lost duel away from losing the game. Luckily I was able to KO many troopers and agents. Clea and Brainstorm set up the Demonic Bargain front, accompanied by Dr. Strange. The other side focussed on Howard and FF heroes, making the man out of time go off almost every turn."
,,3,Loconnole & Klcgolf,37,39,76,1st,Yes (5.5),3rd,29 (6.5),1st,0 (7.5),5th,2.621 (6),25.5,,2,15,0,2,5,4,1,0,12,"Ancient One, The",Brainstorm,"Ancient One, The",Brainstorm,Second attempt,5,We learned a lot from our first game and we're able to recruit a more diverse set of heroes!
,,4,coldvein & raja,59,34,93,1st,Yes (5.5),8th,31 (3),1st,0 (7.5),2nd,3 (8.5),24.5,,25,16,1,2,4,2,2,0,11,General Okoye,Princess Shuri,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,Nice combination of heroes.  Combination of sets presented a nice challenge as well.
,,5,Bronson & Lighthouse,47,36,83,1st,Yes (5.5),7th,30 (4),1st,0 (7.5),4th,2.767 (7),24,,11,12,2,1,5,3,1,0,12,Brainstorm,Princess Shuri,Brainstorm,Princess Shuri,Second attempt,3,"First game was a slog and only won on the second to last card. Second game started with 3 STs in the first 6 turns so was worried we were screwed, but we got lucky on colors for sonic frequency in the HQ and were able to make steady progress on Klaw. 

For hero selection we intentionally did not want any green cards since they didn’t help the scheme and took the risk of what it meant for Klaw. We were pretty happy with that strategy and chose Brainstorm and Shuri to manipulate our top card and HQ. "
,,6,illmatic7729,46,16,62,1st,Yes (5.5),2nd,27 (9),7th,1 (2.5),8th,2.296 (3),20,,30,14,2,4,4,5,0,0,15,Brainstorm,Princess Shuri,Brainstorm,Princess Shuri,First attempt,4,"Because the three required heroes were so instinct/covert class dominated, and because this scheme required some tech/ranged to be avoid the mastermind winning duels, I went with heavy tech ranged heroes: Shuri and Brainstorm.  Brainstorm synced well with Psi-lord from a team standpoint, and Shuri's multi class cards plus the ability to change the HQ and ,therefore, empowering was valuable.  In hindsight, I regret not going more of an artifact route for protection from Duel losses (it only takes one in two player) as Strange's Cagliastro + Watatomb provides all the protection you need for the Duels as long as they aren't discarded.  However, was able to get an early Psi-lord rare, which when combined with Man out of TIme from Brainstorm/Psilord allowed it to continue staying in my hand, which then led to a Brainstorm rare, and then everything went downhill for evil from there."
